Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-u6qh,checkpoint-wwj4,checkpoint-75d5,branch-2gum,branch-dg21,branch-5lq7,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
11,1734541733624,18/12/2024 17:08:53,1734541733624,0,18/12/2024 17:08:53,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,3,passages,Sentences,3emlxf,1,response,space,8965.299999988085,8952.300000000003,8965.299999988085,8965.299999988085,8952.300000000003,8965.299999988085,1,8965.299999988085,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,2,It is the link that connects producers and consumers and brings production and consumption together.,0,Easy,2,1,,,,,,,,,,,,
12,1734541737957,18/12/2024 17:08:57,1734541737957,0,18/12/2024 17:08:57,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,4,passages,Sentences,3emlxf,1,response,space,4346.300000000003,4334.600000000006,4346.300000000003,4346.300000000003,4334.600000000006,4346.300000000003,1,4346.300000000003,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,3,About one in every six employees is involved directly in wholesaling or retailing activities.,0,Easy,2,1,,,,,,,,,,,,
13,1734541742029,18/12/2024 17:09:02,1734541742029,0,18/12/2024 17:09:02,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,5,passages,Sentences,3emlxf,1,response,space,4083.0999999761552,4067.699999999997,4083.0999999761552,4083.0999999761552,4067.699999999997,4083.0999999761552,1,4083.0999999761552,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,4,"This ratio does not take into account other employees who assist marketing through transportation, communication, and office jobs.",0,Easy,2,1,,,,,,,,,,,,
14,1734541743372,18/12/2024 17:09:03,1734541743372,0,18/12/2024 17:09:03,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,6,passages,Sentences,3emlxf,1,response,space,1358.5999999940395,1350.300000000003,1358.5999999940395,1358.5999999940395,1350.300000000003,1358.5999999940395,1,1358.5999999940395,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,5,Marketing provides many different kinds of jobs.,0,Easy,2,1,,,,,,,,,,,,
15,1734541745855,18/12/2024 17:09:05,1734541745855,0,18/12/2024 17:09:05,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,7,passages,Sentences,3emlxf,1,response,space,2491.5999999761552,2484.0999999999913,2491.5999999761552,2491.5999999761552,2484.0999999999913,2491.5999999761552,1,2491.5999999761552,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,6,These jobs require a wide range of skills and abilities.,0,Easy,2,1,,,,,,,,,,,,
16,1734541751145,18/12/2024 17:09:11,1734541751145,0,18/12/2024 17:09:11,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,8,passages,Sentences,3emlxf,1,response,space,5296.999999976164,5284.600000000006,5296.999999976164,5296.999999976164,5284.600000000006,5296.999999976164,1,5296.999999976164,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,7,"We usually think that the primary job in marketing is selling, but there are jobs in management, advertising, market and product research, and buying.",0,Easy,2,1,,,,,,,,,,,,
17,1734541754237,18/12/2024 17:09:14,1734541754237,0,18/12/2024 17:09:14,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,9,passages,Sentences,3emlxf,1,response,space,3104.399999976158,3100.899999999994,3104.399999976158,3104.399999976158,3100.899999999994,3104.399999976158,1,3104.399999976158,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,8,"The economic well-being of our country is determined largely by productivity, consumption, and employment.",1,Easy,2,1,,,,,,,,,,,,
18,1734541757946,18/12/2024 17:09:17,1734541757946,0,18/12/2024 17:09:17,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,1,probe,Thought probe,muxvwp,1,response,no,3712.6999999940454,3700.9000000000087,3712.6999999940454,3712.6999999940454,3700.9000000000087,3712.6999999940454,1,3712.6999999940454,0,0,,Click Response,response,3,object-82,probe,,,,,,,,,,,,,,,,,,,,,
19,1734541759948,18/12/2024 17:09:19,1734541759948,0,18/12/2024 17:09:19,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,10,passages,Sentences,3emlxf,1,response,space,2014.199999999997,2000.5,2014.199999999997,2014.199999999997,2000.5,2014.199999999997,1,2014.199999999997,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,9,The efficiency of marketing affects all three.,0,Easy,2,1,,,,,,,,,,,,
20,1734541762521,18/12/2024 17:09:22,1734541762521,0,18/12/2024 17:09:22,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,11,passages,Sentences,3emlxf,1,response,space,2586.399999988076,2584.0999999999913,2586.399999988076,2586.399999988076,2584.0999999999913,2586.399999988076,1,2586.399999988076,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,10,People consume many goods if marketing creates a demand.,0,Easy,2,1,,,,,,,,,,,,
21,1734541767269,18/12/2024 17:09:27,1734541767269,0,18/12/2024 17:09:27,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,12,passages,Sentences,3emlxf,1,response,space,4750.299999988085,4734.5,4750.299999988085,4750.299999988085,4734.5,4750.299999988085,1,4750.299999988085,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,11,"High consumption requires high productivity to meet the wants of people, and high productivity and high-level activity in marketing combined result in high employment.",1,Easy,2,1,,,,,,,,,,,,
22,1734541768729,18/12/2024 17:09:28,1734541768729,0,18/12/2024 17:09:28,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,2,probe,Thought probe,muxvwp,1,response,yes,1475.8999999821244,1467.1000000000058,1475.8999999821244,1475.8999999821244,1467.1000000000058,1475.8999999821244,1,1475.8999999821244,0,0,,Click Response,response,2,object-81,probe,,,,,,,,,,,,,,,,,,,,,
23,1734541771976,18/12/2024 17:09:31,1734541771976,0,18/12/2024 17:09:31,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,13,passages,Sentences,3emlxf,1,response,space,3256.0999999940395,3250.800000000003,3256.0999999940395,3256.0999999940395,3250.800000000003,3256.0999999940395,1,3256.0999999940395,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,12,Marketing is indirectly a key to a high economic level of living for the people.,0,Easy,2,1,,,,,,,,,,,,
24,1734541775479,18/12/2024 17:09:35,1734541775479,0,18/12/2024 17:09:35,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,1,instr_comprehension,Comprehension instruction,ki2jxw,1,response,space,3508.399999988076,3500.899999999994,3508.399999988076,3508.399999988076,3500.899999999994,3508.399999988076,1,3508.399999988076,0,0,,Keyboard Response,Keyboard Response,2,object-78,instr_comprehension,,,,,,,,,,,,,,,,,,,,,
25,1734541781094,18/12/2024 17:09:41,1734541781094,0,18/12/2024 17:09:41,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,1,comprehension,Comprehension questions,ers3wv,1,response,c,5621.800000000003,5618.100000000006,5621.800000000003,5621.800000000003,5618.100000000006,5621.800000000003,1,5621.800000000003,0,0,,Click Response,response C,4,object-68,comprehension,,,1,1,,,,,,Our economic well-being is determined largely by how many factors?,c,One,Two,Three,Four,Five,,,,,
26,1734541785862,18/12/2024 17:09:45,1734541785862,0,18/12/2024 17:09:45,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,2,comprehension,Comprehension questions,ers3wv,1,response,d,4771.499999982116,4767.999999999985,4771.499999982116,4771.499999982116,4767.999999999985,4771.499999982116,1,4771.499999982116,0,0,,Click Response,response A,2,object-66,comprehension,,,1,2,,,,,,One major factor mentioned as affecting our economic well-being was,d,high wages,low interest rates,technology,employment,foreign trade,,,,,
27,1734541788680,18/12/2024 17:09:48,1734541788680,0,18/12/2024 17:09:48,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,3,comprehension,Comprehension questions,ers3wv,1,response,d,2821.799999994051,2817.3000000000175,2821.799999994051,2821.799999994051,2817.3000000000175,2821.799999994051,1,2821.799999994051,0,0,,Click Response,response B,3,object-67,comprehension,,,1,3,,,,,,The purpose of this passage is to,d,persuade,guide,evaluate,inform,interest,,,,,
28,1734541792103,18/12/2024 17:09:52,1734541792103,0,18/12/2024 17:09:52,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,4,comprehension,Comprehension questions,ers3wv,1,response,e,3427.399999999994,3417.6999999999825,3427.399999999994,3427.399999999994,3417.6999999999825,3427.399999999994,1,3427.399999999994,0,0,,Click Response,response E,6,object-70,comprehension,,,1,4,,,,,,The chief emphasis is on,e,defining marketing,principles of marketing,opportunities in marketing,kinds of jobs in marketing,the economic significance of marketing,,,,,
29,1734541795027,18/12/2024 17:09:55,1734541795027,0,18/12/2024 17:09:55,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,14,passages,Sentences,3emlxf,1,response,space,2933.9000000000233,2917.3000000000175,2933.9000000000233,2933.9000000000233,2917.3000000000175,2933.9000000000233,1,2933.9000000000233,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,0,Passage 2,0,Easy,2,1,,,,,,,,,,,,
30,1734541797668,18/12/2024 17:09:57,1734541797668,0,18/12/2024 17:09:57,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,15,passages,Sentences,3emlxf,1,response,space,2657.4999999940337,2650.6999999999825,2657.4999999940337,2657.4999999940337,2650.6999999999825,2657.4999999940337,1,2657.4999999940337,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,1,The possibility of life on Mars is not dismissed even by skeptics.,0,Easy,2,1,,,,,,,,,,,,
31,1734541799163,18/12/2024 17:09:59,1734541799163,0,18/12/2024 17:09:59,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,16,passages,Sentences,3emlxf,1,response,space,1501.5999999761698,1500.4000000000233,1501.5999999761698,1501.5999999761698,1500.4000000000233,1501.5999999761698,1,1501.5999999761698,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,2,They seem to share our hope that it is true.,0,Easy,2,1,,,,,,,,,,,,
32,1734541804046,18/12/2024 17:10:04,1734541804046,0,18/12/2024 17:10:04,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,17,passages,Sentences,3emlxf,1,response,space,4884.399999999994,4867.899999999994,4884.399999999994,4884.399999999994,4867.899999999994,4884.399999999994,1,4884.399999999994,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,3,"So, it was disappointing when scientists studied photos from the early Mariner space flights in the mid-1960's.",0,Easy,2,1,,,,,,,,,,,,
33,1734541806254,18/12/2024 17:10:06,1734541806254,0,18/12/2024 17:10:06,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,18,passages,Sentences,3emlxf,1,response,space,2224.5999999880733,2217.1999999999825,2224.5999999880733,2224.5999999880733,2217.1999999999825,2224.5999999880733,1,2224.5999999880733,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,4,"They saw no canals, no seas, and no busy Martian engineers.",0,Easy,2,1,,,,,,,,,,,,
34,1734541808365,18/12/2024 17:10:08,1734541808365,0,18/12/2024 17:10:08,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,19,passages,Sentences,3emlxf,1,response,space,2118.799999994051,2117.3000000000175,2118.799999994051,2118.799999994051,2117.3000000000175,2118.799999994051,1,2118.799999994051,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,5,"They saw no dangerous, warlike Martians as huge as skyscrapers.",0,Easy,2,1,,,,,,,,,,,,
35,1734541811370,18/12/2024 17:10:11,1734541811370,0,18/12/2024 17:10:11,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,20,passages,Sentences,3emlxf,1,response,space,3006.399999999994,3000.899999999994,3006.399999999994,3006.399999999994,3000.899999999994,3006.399999999994,1,3006.399999999994,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,6,"All they saw were mountains, craters, cold winds, and dust storms.",0,Easy,2,1,,,,,,,,,,,,
