Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-u6qh,checkpoint-wwj4,checkpoint-75d5,branch-2gum,branch-dg21,branch-5lq7,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
1,1734541653040,18/12/2024 17:07:33,1734541653040,0,18/12/2024 17:07:33,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1734541655788,18/12/2024 17:07:35,1734541655788,0,18/12/2024 17:07:35,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,1,start,Welcome,vo3k26,1,continue,,2795.8999999940397,2784.1000000000004,2795.8999999940397,2795.8999999940397,2784.1000000000004,2795.8999999940397,1,2795.8999999940397,0,0,,Click To Continue,Continue Button,2,object-14,start,,,,,,,,,,,,,,,,,,,,,
3,1734541669935,18/12/2024 17:07:49,1734541669935,0,18/12/2024 17:07:49,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,1,instr_passages,Text,zppu2h,1,response,space,14160.39999998808,14153.7,14160.39999998808,14160.39999998808,14153.7,14160.39999998808,1,14160.39999998808,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,1,"TASK INSTRUCTIONS - PLEASE READ CAREFULLY!

The goal of this study is to learn how mind wandering affects how you learn information during reading. <br><br> Mind wandering is a term used to describe what occurs when your attention wanders from a task.
 Sometimes when your mind wanders, you begin thinking about personal events or concerns rather than your task. At other times, your mind can wander because you are bored or tired and you don’t really know what you’re thinking about; all you know is that you are no longer thinking about your task.
<br><br>
Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
4,1734541679967,18/12/2024 17:07:59,1734541679967,0,18/12/2024 17:07:59,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,2,instr_passages,Text,zppu2h,1,response,space,10038.799999982119,10035.900000000001,10038.799999982119,10038.799999982119,10035.900000000001,10038.799999982119,1,10038.799999982119,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,2,"In this task, you will read 4 passages and answer reading comprehension questions for each passage. <br><br> THE PASSAGES WILL BE PRESENTED IN A SENTENCE-BY-SENTENCE FASHION. PLEASE READ THE SENTENCES AT YOUR NORMAL READING PACE. ONCE YOU HAVE FINISHED READING ONE SENTENCE, PRESS THE SPACE BAR TO MOVE ON TO THE NEXT SENTENCE. Once you've read the sentence you MAY NOT GO BACK.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
5,1734541691153,18/12/2024 17:08:11,1734541691153,0,18/12/2024 17:08:11,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,3,instr_passages,Text,zppu2h,1,response,space,11189.199999994038,11186.099999999999,11189.199999994038,11189.199999994038,11186.099999999999,11189.199999994038,1,11189.199999994038,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,3,"THE SET OF READING COMPREHENSION QUESTIONS FOR THAT PARTICULAR PASSAGE YOU’VE FINISHED READING WILL APPEAR AFTER EACH PASSAGE, not all together at the end. Like the sentences, once you've answered the questions you MAY NOT GO BACK TO CHANGE YOUR ANSWER.
<br><br> 
Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
6,1734541703023,18/12/2024 17:08:23,1734541703023,0,18/12/2024 17:08:23,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,4,instr_passages,Text,zppu2h,1,response,space,11873.299999982119,11869.900000000001,11873.299999982119,11873.299999982119,11869.900000000001,11873.299999982119,1,11873.299999982119,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,4,"Additionally, while you are reading you will be randomly interrupted and asked “WERE YOU MIND WANDERING WHEN YOU READ THE PREVIOUS SENTENCE?"" You would have to choose either “Yes” or ""No"" by clicking on the appropriate option.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
7,1734541711616,18/12/2024 17:08:31,1734541711616,0,18/12/2024 17:08:31,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,5,instr_passages,Text,zppu2h,1,response,space,8596.299999988078,8585.599999999999,8596.299999988078,8596.299999988078,8585.599999999999,8596.299999988078,1,8596.299999988078,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,6,"This entire task is self-paced. Though of course you should try NOT TO go over the task's ending time of 20 minutes. So try to do the task all the way through instead of taking too many small breaks in between. The task isn't long, so you should be able to do it without taking any breaks. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
8,1734541713012,18/12/2024 17:08:33,1734541713012,0,18/12/2024 17:08:33,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,6,instr_passages,Text,zppu2h,1,response,space,1407.0999999940395,1400.5,1407.0999999940395,1407.0999999940395,1400.5,1407.0999999940395,1,1407.0999999940395,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,7,Please press the space bar to start reading the first passage.,,,,,,,,,,,,,,,,,,,
9,1734541714911,18/12/2024 17:08:34,1734541714911,0,18/12/2024 17:08:34,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,1,passages,Sentences,3emlxf,1,response,space,1904.7999999821186,1900.300000000003,1904.7999999821186,1904.7999999821186,1900.300000000003,1904.7999999821186,1,1904.7999999821186,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,0,Passage 1,0,Easy,2,1,,,,,,,,,,,,
10,1734541724663,18/12/2024 17:08:44,1734541724663,0,18/12/2024 17:08:44,202242,3,task-wn3e,,42105089,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,2,passages,Sentences,3emlxf,1,response,space,9756.699999999997,9752.599999999991,9756.699999999997,9756.699999999997,9752.599999999991,9756.699999999997,1,9756.699999999997,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,1,Marketing is a business activity that directs the flow of goods and services from a producer to a consumer or user.,0,Easy,2,1,,,,,,,,,,,,
