Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-u6qh,checkpoint-wwj4,checkpoint-75d5,branch-2gum,branch-dg21,branch-5lq7,Randomise questionnaire elements?,Question Key,Response
11,1734920288867,23/12/2024 02:18:08,1734920288612,0,23/12/2024 02:18:08,202242,3,questionnaire-7oy7,,42170155,BLIND,12314886,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x813,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-quantised,1
12,1734920288867,23/12/2024 02:18:08,1734920288612,0,23/12/2024 02:18:08,202242,3,questionnaire-7oy7,,42170155,BLIND,12314886,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x813,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-text,
13,1734920288867,23/12/2024 02:18:08,1734920288612,0,23/12/2024 02:18:08,202242,3,questionnaire-7oy7,,42170155,BLIND,12314886,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x813,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,END QUESTIONNAIRE,9193
1,1734969428860,23/12/2024 15:57:08,1734969428783,0,23/12/2024 15:57:08,202242,3,questionnaire-7oy7,,42182926,BLIND,12317228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1,1470x956,1470x840,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1734969442890,23/12/2024 15:57:22,1734969442869,0,23/12/2024 15:57:22,202242,3,questionnaire-7oy7,,42182926,BLIND,12317228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1,1470x956,1470x840,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Age,18
3,1734969442951,23/12/2024 15:57:22,1734969442872,0,23/12/2024 15:57:22,202242,3,questionnaire-7oy7,,42182926,BLIND,12317228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1,1470x956,1470x840,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender,Woman
4,1734969442951,23/12/2024 15:57:22,1734969442873,0,23/12/2024 15:57:22,202242,3,questionnaire-7oy7,,42182926,BLIND,12317228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1,1470x956,1470x840,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-quantised,2
5,1734969442951,23/12/2024 15:57:22,1734969442873,0,23/12/2024 15:57:22,202242,3,questionnaire-7oy7,,42182926,BLIND,12317228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1,1470x956,1470x840,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-text,
6,1734969442951,23/12/2024 15:57:22,1734969442873,0,23/12/2024 15:57:22,202242,3,questionnaire-7oy7,,42182926,BLIND,12317228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1,1470x956,1470x840,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand,Right
7,1734969442951,23/12/2024 15:57:22,1734969442873,0,23/12/2024 15:57:22,202242,3,questionnaire-7oy7,,42182926,BLIND,12317228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1,1470x956,1470x840,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand-quantised,2
8,1734969442951,23/12/2024 15:57:22,1734969442873,0,23/12/2024 15:57:22,202242,3,questionnaire-7oy7,,42182926,BLIND,12317228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1,1470x956,1470x840,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education,Yes
9,1734969442951,23/12/2024 15:57:22,1734969442873,0,23/12/2024 15:57:22,202242,3,questionnaire-7oy7,,42182926,BLIND,12317228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1,1470x956,1470x840,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education-quantised,1
10,1734969442951,23/12/2024 15:57:22,1734969442873,0,23/12/2024 15:57:22,202242,3,questionnaire-7oy7,,42182926,BLIND,12317228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1,1470x956,1470x840,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual,Yes
11,1734969442951,23/12/2024 15:57:22,1734969442873,0,23/12/2024 15:57:22,202242,3,questionnaire-7oy7,,42182926,BLIND,12317228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1,1470x956,1470x840,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-quantised,1
12,1734969442951,23/12/2024 15:57:22,1734969442873,0,23/12/2024 15:57:22,202242,3,questionnaire-7oy7,,42182926,BLIND,12317228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1,1470x956,1470x840,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-text,
13,1734969442951,23/12/2024 15:57:22,1734969442873,0,23/12/2024 15:57:22,202242,3,questionnaire-7oy7,,42182926,BLIND,12317228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1,1470x956,1470x840,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,END QUESTIONNAIRE,14090
1,1735310706615,27/12/2024 14:45:06,1735310706449,0,27/12/2024 14:45:06,202242,3,questionnaire-7oy7,,42207767,BLIND,12323320,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1735310741562,27/12/2024 14:45:41,1735310741450,0,27/12/2024 14:45:41,202242,3,questionnaire-7oy7,,42207767,BLIND,12323320,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Age,18
3,1735310741656,27/12/2024 14:45:41,1735310741452,0,27/12/2024 14:45:41,202242,3,questionnaire-7oy7,,42207767,BLIND,12323320,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender,Woman
4,1735310741656,27/12/2024 14:45:41,1735310741452,0,27/12/2024 14:45:41,202242,3,questionnaire-7oy7,,42207767,BLIND,12323320,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-quantised,2
5,1735310741656,27/12/2024 14:45:41,1735310741452,0,27/12/2024 14:45:41,202242,3,questionnaire-7oy7,,42207767,BLIND,12323320,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-text,
6,1735310741656,27/12/2024 14:45:41,1735310741452,0,27/12/2024 14:45:41,202242,3,questionnaire-7oy7,,42207767,BLIND,12323320,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand,Right
7,1735310741656,27/12/2024 14:45:41,1735310741453,0,27/12/2024 14:45:41,202242,3,questionnaire-7oy7,,42207767,BLIND,12323320,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand-quantised,2
8,1735310741656,27/12/2024 14:45:41,1735310741453,0,27/12/2024 14:45:41,202242,3,questionnaire-7oy7,,42207767,BLIND,12323320,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education,Yes
9,1735310741656,27/12/2024 14:45:41,1735310741453,0,27/12/2024 14:45:41,202242,3,questionnaire-7oy7,,42207767,BLIND,12323320,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education-quantised,1
10,1735310741656,27/12/2024 14:45:41,1735310741453,0,27/12/2024 14:45:41,202242,3,questionnaire-7oy7,,42207767,BLIND,12323320,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual,Yes
11,1735310741656,27/12/2024 14:45:41,1735310741453,0,27/12/2024 14:45:41,202242,3,questionnaire-7oy7,,42207767,BLIND,12323320,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-quantised,1
12,1735310741656,27/12/2024 14:45:41,1735310741453,0,27/12/2024 14:45:41,202242,3,questionnaire-7oy7,,42207767,BLIND,12323320,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-text,
13,1735310741656,27/12/2024 14:45:41,1735310741453,0,27/12/2024 14:45:41,202242,3,questionnaire-7oy7,,42207767,BLIND,12323320,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,END QUESTIONNAIRE,35004
1,1735484786602,29/12/2024 15:06:26,1735484952068,8,29/12/2024 23:09:12,202242,3,questionnaire-7oy7,,42221102,BLIND,12326898,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x779,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1735484795195,29/12/2024 15:06:35,1735484960712,8,29/12/2024 23:09:20,202242,3,questionnaire-7oy7,,42221102,BLIND,12326898,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x779,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Age,18
3,1735484795460,29/12/2024 15:06:35,1735484960714,8,29/12/2024 23:09:20,202242,3,questionnaire-7oy7,,42221102,BLIND,12326898,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x779,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender,Woman
4,1735484795460,29/12/2024 15:06:35,1735484960714,8,29/12/2024 23:09:20,202242,3,questionnaire-7oy7,,42221102,BLIND,12326898,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x779,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-quantised,2
5,1735484795460,29/12/2024 15:06:35,1735484960714,8,29/12/2024 23:09:20,202242,3,questionnaire-7oy7,,42221102,BLIND,12326898,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x779,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-text,
6,1735484795460,29/12/2024 15:06:35,1735484960714,8,29/12/2024 23:09:20,202242,3,questionnaire-7oy7,,42221102,BLIND,12326898,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x779,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand,Right
7,1735484795460,29/12/2024 15:06:35,1735484960714,8,29/12/2024 23:09:20,202242,3,questionnaire-7oy7,,42221102,BLIND,12326898,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x779,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand-quantised,2
8,1735484795460,29/12/2024 15:06:35,1735484960714,8,29/12/2024 23:09:20,202242,3,questionnaire-7oy7,,42221102,BLIND,12326898,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x779,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education,Yes
9,1735484795460,29/12/2024 15:06:35,1735484960714,8,29/12/2024 23:09:20,202242,3,questionnaire-7oy7,,42221102,BLIND,12326898,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x779,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education-quantised,1
10,1735484795460,29/12/2024 15:06:35,1735484960714,8,29/12/2024 23:09:20,202242,3,questionnaire-7oy7,,42221102,BLIND,12326898,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x779,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual,Yes
11,1735484795460,29/12/2024 15:06:35,1735484960714,8,29/12/2024 23:09:20,202242,3,questionnaire-7oy7,,42221102,BLIND,12326898,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x779,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-quantised,1
12,1735484795460,29/12/2024 15:06:35,1735484960714,8,29/12/2024 23:09:20,202242,3,questionnaire-7oy7,,42221102,BLIND,12326898,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x779,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-text,
13,1735484795460,29/12/2024 15:06:35,1735484960715,8,29/12/2024 23:09:20,202242,3,questionnaire-7oy7,,42221102,BLIND,12326898,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x779,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,END QUESTIONNAIRE,8647
1,1735749827957,01/01/2025 16:43:47,1735749830505,0,01/01/2025 16:43:50,202242,3,questionnaire-7oy7,,42241272,BLIND,12332993,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1735749841402,01/01/2025 16:44:01,1735749843970,0,01/01/2025 16:44:03,202242,3,questionnaire-7oy7,,42241272,BLIND,12332993,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Age,18
3,1735749841643,01/01/2025 16:44:01,1735749843972,0,01/01/2025 16:44:03,202242,3,questionnaire-7oy7,,42241272,BLIND,12332993,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender,Woman
4,1735749841643,01/01/2025 16:44:01,1735749843972,0,01/01/2025 16:44:03,202242,3,questionnaire-7oy7,,42241272,BLIND,12332993,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-quantised,2
5,1735749841643,01/01/2025 16:44:01,1735749843972,0,01/01/2025 16:44:03,202242,3,questionnaire-7oy7,,42241272,BLIND,12332993,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-text,
6,1735749841643,01/01/2025 16:44:01,1735749843972,0,01/01/2025 16:44:03,202242,3,questionnaire-7oy7,,42241272,BLIND,12332993,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand,Right
7,1735749841643,01/01/2025 16:44:01,1735749843972,0,01/01/2025 16:44:03,202242,3,questionnaire-7oy7,,42241272,BLIND,12332993,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand-quantised,2
8,1735749841643,01/01/2025 16:44:01,1735749843973,0,01/01/2025 16:44:03,202242,3,questionnaire-7oy7,,42241272,BLIND,12332993,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education,Yes
9,1735749841643,01/01/2025 16:44:01,1735749843973,0,01/01/2025 16:44:03,202242,3,questionnaire-7oy7,,42241272,BLIND,12332993,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education-quantised,1
10,1735749841643,01/01/2025 16:44:01,1735749843974,0,01/01/2025 16:44:03,202242,3,questionnaire-7oy7,,42241272,BLIND,12332993,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual,Yes
11,1735749841643,01/01/2025 16:44:01,1735749843974,0,01/01/2025 16:44:03,202242,3,questionnaire-7oy7,,42241272,BLIND,12332993,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-quantised,1
12,1735749841643,01/01/2025 16:44:01,1735749843975,0,01/01/2025 16:44:03,202242,3,questionnaire-7oy7,,42241272,BLIND,12332993,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-text,
13,1735749841643,01/01/2025 16:44:01,1735749843975,0,01/01/2025 16:44:03,202242,3,questionnaire-7oy7,,42241272,BLIND,12332993,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,END QUESTIONNAIRE,13470
1,1735752545081,01/01/2025 17:29:05,1735752587683,0,01/01/2025 17:29:47,202242,3,questionnaire-7oy7,,42241990,BLIND,12333149,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1735752559940,01/01/2025 17:29:19,1735752602552,0,01/01/2025 17:30:02,202242,3,questionnaire-7oy7,,42241990,BLIND,12333149,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Age,18
3,1735752559996,01/01/2025 17:29:19,1735752602554,0,01/01/2025 17:30:02,202242,3,questionnaire-7oy7,,42241990,BLIND,12333149,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender,Woman
4,1735752559996,01/01/2025 17:29:19,1735752602554,0,01/01/2025 17:30:02,202242,3,questionnaire-7oy7,,42241990,BLIND,12333149,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-quantised,2
5,1735752559996,01/01/2025 17:29:19,1735752602554,0,01/01/2025 17:30:02,202242,3,questionnaire-7oy7,,42241990,BLIND,12333149,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-text,
6,1735752559996,01/01/2025 17:29:19,1735752602554,0,01/01/2025 17:30:02,202242,3,questionnaire-7oy7,,42241990,BLIND,12333149,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand,Right
7,1735752559996,01/01/2025 17:29:19,1735752602554,0,01/01/2025 17:30:02,202242,3,questionnaire-7oy7,,42241990,BLIND,12333149,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand-quantised,2
8,1735752559996,01/01/2025 17:29:19,1735752602555,0,01/01/2025 17:30:02,202242,3,questionnaire-7oy7,,42241990,BLIND,12333149,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education,Yes
9,1735752559996,01/01/2025 17:29:19,1735752602555,0,01/01/2025 17:30:02,202242,3,questionnaire-7oy7,,42241990,BLIND,12333149,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education-quantised,1
10,1735752559996,01/01/2025 17:29:19,1735752602555,0,01/01/2025 17:30:02,202242,3,questionnaire-7oy7,,42241990,BLIND,12333149,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual,Yes
11,1735752559996,01/01/2025 17:29:19,1735752602555,0,01/01/2025 17:30:02,202242,3,questionnaire-7oy7,,42241990,BLIND,12333149,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-quantised,1
12,1735752559996,01/01/2025 17:29:19,1735752602556,0,01/01/2025 17:30:02,202242,3,questionnaire-7oy7,,42241990,BLIND,12333149,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-text,
13,1735752559996,01/01/2025 17:29:19,1735752602556,0,01/01/2025 17:30:02,202242,3,questionnaire-7oy7,,42241990,BLIND,12333149,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,END QUESTIONNAIRE,14873
1,1735826845336,02/01/2025 14:07:25,1735826845133,0,02/01/2025 14:07:25,202242,3,questionnaire-7oy7,,42249017,BLIND,12334989,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.2,1440x900,1440x820,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1735826862483,02/01/2025 14:07:42,1735826862361,0,02/01/2025 14:07:42,202242,3,questionnaire-7oy7,,42249017,BLIND,12334989,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.2,1440x900,1440x820,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Age,18
3,1735826862572,02/01/2025 14:07:42,1735826862363,0,02/01/2025 14:07:42,202242,3,questionnaire-7oy7,,42249017,BLIND,12334989,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.2,1440x900,1440x820,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender,Man
