Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instr_text,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: random_blocks,Spreadsheet: random_trials,Spreadsheet: size,branch-s3b7,branch-wcx7,branch-spxp
18,1754560396961,07/08/2025 09:53,1754563996961,1,07/08/2025 11:53,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,8,trial_withFeedback,digit,9x41os,1,timedOut,,200.3000000000029,199.90000000000873,200.3000000000029,200.3000000000029,199.90000000000873,200.3000000000029,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,1,space,,,160,Eligible,Voucher,Yes
19,1754560397860,07/08/2025 09:53,1754563997860,1,07/08/2025 11:53,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,8,trial_withFeedback,mask,zabu7l,2,response,noresponse,899.2999999999884,899.2999999999884,899.2999999999884,899.2999999999884,899.2999999999884,899.2999999999884,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,1,space,,,160,Eligible,Voucher,Yes
20,1754560399043,07/08/2025 09:53,1754563999043,1,07/08/2025 11:53,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,9,trial_withFeedback,digit,9x41os,1,timedOut,,200.30000000298605,199.8000000000029,200.30000000298605,200.30000000298605,199.8000000000029,200.30000000298605,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,9,space,,,110,Eligible,Voucher,Yes
21,1754560399942,07/08/2025 09:53,1754563999942,1,07/08/2025 11:53,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,9,trial_withFeedback,mask,zabu7l,2,response,noresponse,899.3000000000029,899.3000000000029,899.3000000000029,899.3000000000029,899.3000000000029,899.3000000000029,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,9,space,,,110,Eligible,Voucher,Yes
22,1754560401124,07/08/2025 09:53,1754564001124,1,07/08/2025 11:53,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,10,trial_withFeedback,digit,9x41os,1,timedOut,,200.30000000447035,199.89999999999418,200.30000000447035,200.30000000447035,199.89999999999418,200.30000000447035,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,3,noresponse,,,160,Eligible,Voucher,Yes
23,1754560402024,07/08/2025 09:53,1754564002024,1,07/08/2025 11:53,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,10,trial_withFeedback,mask,zabu7l,2,response,noresponse,899.2000000000116,899.2000000000116,899.2000000000116,899.2000000000116,899.2000000000116,899.2000000000116,1,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,3,noresponse,,,160,Eligible,Voucher,Yes
24,1754560403206,07/08/2025 09:53,1754564003206,1,07/08/2025 11:53,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,11,trial_withFeedback,digit,9x41os,1,timedOut,,200.39999999999418,199.89999999999418,200.39999999999418,200.39999999999418,199.89999999999418,200.39999999999418,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,4,space,,,110,Eligible,Voucher,Yes
25,1754560404105,07/08/2025 09:53,1754564004105,1,07/08/2025 11:53,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,11,trial_withFeedback,mask,zabu7l,2,response,noresponse,899.1999999999971,899.1999999999971,899.1999999999971,899.1999999999971,899.1999999999971,899.1999999999971,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,4,space,,,110,Eligible,Voucher,Yes
26,1754560405288,07/08/2025 09:53,1754564005288,1,07/08/2025 11:53,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,12,trial_withFeedback,digit,9x41os,1,timedOut,,200.40000000149303,200,200.40000000149303,200.40000000149303,200,200.40000000149303,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,4,space,,,90,Eligible,Voucher,Yes
27,1754560406187,07/08/2025 09:53,1754564006187,1,07/08/2025 11:53,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,12,trial_withFeedback,mask,zabu7l,2,response,noresponse,899.1000000000058,899.1000000000058,899.1000000000058,899.1000000000058,899.1000000000058,899.1000000000058,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,4,space,,,90,Eligible,Voucher,Yes
