Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: block,Spreadsheet: block_number_text,Spreadsheet: item,Spreadsheet: item_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: item_correct,Manipulation: Spreadsheet
1,1738439981837,01/02/2025 19:59:41,1738439981837,0,01/02/2025 19:59:41,201657,10,task-idt7,,42967032,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
2,1738439983449,01/02/2025 19:59:43,1738439983449,0,01/02/2025 19:59:43,201657,10,task-idt7,,42967032,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,1,start,welcome,vo3k26,1,continue,,1644.1999999997206,1633.6,1644.1999999997206,1644.1999999997206,1633.6,1644.1999999997206,1,1644.1999999997206,0,0,,Click To Continue,Continue Button,2,object-14,start,,,,,,,,,,1,,
3,1738440007269,01/02/2025 20:00:07,1738440007269,0,01/02/2025 20:00:07,201657,10,task-idt7,,42967032,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,1,instr,instr_text,19f9rf,1,continue,,23829.699999999997,23813,23829.699999999997,23829.699999999997,23813,23829.699999999997,1,23829.699999999997,0,0,,Click To Continue,Continue Button,2,object-108,instr,1,"TASK INSTRUCTIONS - PLEASE READ CAREFULLY! The goal of this study is to see how well people can focus during mental maths tasks. <br><br> Mind wandering is a term used to describe what occurs when your attention wanders from a task. Sometimes when your mind wanders, you begin thinking about personal events or concerns rather than your task. At other times, your mind can wander because you are bored or tired and you don’t really know what you’re thinking about; all you know is that you are no longer thinking about your task.<br><br>",,,,,,,,1,,
4,1738440014129,01/02/2025 20:00:14,1738440014129,0,01/02/2025 20:00:14,201657,10,task-idt7,,42967032,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,2,instr,instr_text,19f9rf,1,continue,,6878.699999999815,6865.800000000003,6878.699999999815,6878.699999999815,6865.800000000003,6878.699999999815,1,6878.699999999815,0,0,,Click To Continue,Continue Button,2,object-108,instr,2,"Importantly, mind wandering can occur either because you INTENTIONALLY decided to think about things that are unrelated to the task, OR because your thoughts UNINTENTIONALLY drifted away to task-unrelated thoughts, despite your best intentions to focus on the task. <br><br>",,,,,,,,1,,
5,1738440020963,01/02/2025 20:00:20,1738440020963,0,01/02/2025 20:00:20,201657,10,task-idt7,,42967032,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,3,instr,instr_text,19f9rf,1,continue,,6846.299999999719,6832.4000000000015,6846.299999999719,6846.299999999719,6832.4000000000015,6846.299999999719,1,6846.299999999719,0,0,,Click To Continue,Continue Button,2,object-108,instr,3,"Being ON TASK means that you were focused on completing the task and were not thinking about anything unrelated to the task. Some examples of ON TASK thoughts include thoughts about your performance on the task, or thoughts about your response. <br><br>",,,,,,,,1,,
6,1738440028332,01/02/2025 20:00:28,1738440028332,0,01/02/2025 20:00:28,201657,10,task-idt7,,42967032,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,4,instr,instr_text,19f9rf,1,continue,,7382.499999999993,7365.799999999996,7382.499999999993,7382.499999999993,7365.799999999996,7382.499999999993,1,7382.499999999993,0,0,,Click To Continue,Continue Button,2,object-108,instr,4,"In this task, you will be asked maths questions of varying difficulty.  As this is a mental maths task we ask that you do not use a calculator, your individual performance in maths is not being tested. <br><br> Enter your answer in the box and press ENTER or click on the Submit button to submit your answer.",,,,,,,,1,,
7,1738440040869,01/02/2025 20:00:40,1738440040869,0,01/02/2025 20:00:40,201657,10,task-idt7,,42967032,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,5,instr,instr_text,19f9rf,1,continue,,12554.900000000001,12548.300000000003,12554.900000000001,12554.900000000001,12548.300000000003,12554.900000000001,1,12554.900000000001,0,0,,Click To Continue,Continue Button,2,object-108,instr,5,"Additionally, while you are answering the questions you will be randomly interrupted and asked “WHICH OF THE FOLLOWING RESPONSES BEST CHARACTERISES YOUR MENTAL STATE JUST PRIOR TO THE PRESENTATION OF THIS SCREEN?"" You would have to choose either “On task”, ""Intentionally mind wandering"" or ""Unintentionally mind wandering"" by clicking on the appropriate option.<br><br>",,,,,,,,1,,
8,1738440058466,01/02/2025 20:00:58,1738440058466,0,01/02/2025 20:00:58,201657,10,task-idt7,,42967032,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,6,instr,instr_text,19f9rf,1,continue,,17603.6,17597.6,17603.6,17603.6,17597.6,17603.6,1,17603.6,0,0,,Click To Continue,Continue Button,2,object-108,instr,6,This entire task is self-paced. Though of course you should try NOT TO go over the task's ending time of 30 minutes.  There are 3 break periods within the task so try to do the task all the way through instead of taking too many small breaks in between. <br><br>,,,,,,,,1,,
9,1738440059660,01/02/2025 20:00:59,1738440059660,0,01/02/2025 20:00:59,201657,10,task-idt7,,42967032,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,7,instr,instr_text,19f9rf,1,continue,,1199.5000000000146,1183.1000000000058,1199.5000000000146,1199.5000000000146,1183.1000000000058,1199.5000000000146,1,1199.5000000000146,0,0,,Click To Continue,Continue Button,2,object-108,instr,7,Please click the button below to start the practice.,,,,,,,,1,,
10,1738440060789,01/02/2025 20:01:00,1738440060789,0,01/02/2025 20:01:00,201657,10,task-idt7,,42967032,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,1,block_intro,Screen 1,j74kif,1,continue,,1145.299999999901,1133.2999999999884,1145.299999999901,1145.299999999901,1133.2999999999884,1145.299999999901,1,1145.299999999901,0,0,,Click To Continue,start,2,object-98,block_intro,,,0,Practice,,,,,,1,,
11,1738440067345,01/02/2025 20:01:07,1738440067345,0,01/02/2025 20:01:07,201657,10,task-idt7,,42967032,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,1,block,item,iz4mgl,1,response,47,4216.100000000006,6549.200000000012,6566.000000000015,4216.100000000006,6549.200000000012,6566.000000000015,1,4216.100000000006,2349.9000000000087,0,,Single Number Entry,response,2,object-109,block,,,0,,1,12 + 35,,,,1,47,
12,1738440078584,01/02/2025 20:01:18,1738440078584,0,01/02/2025 20:01:18,201657,10,task-idt7,,42967032,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,2,block,item,iz4mgl,1,response,37,5049.599999999991,11248.799999999988,11257.999999999622,5049.599999999991,11248.799999999988,11257.999999999622,1,5049.599999999991,6208.39999999963,0,,Single Number Entry,response,2,object-109,block,,,0,,2,89 - 52,,,,1,37,
13,1738440082147,01/02/2025 20:01:22,1738440082147,0,01/02/2025 20:01:22,201657,10,task-idt7,,42967032,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,3,block,item,iz4mgl,1,response,25,2216.300000000003,3566.100000000006,3572.6999999996333,2216.300000000003,3566.100000000006,3572.6999999996333,0,2216.300000000003,1356.3999999996304,0,,Single Number Entry,response,2,object-109,block,,,0,,3,4 x 5,,,,1,20,
14,1738440096406,01/02/2025 20:01:36,1738440096406,0,01/02/2025 20:01:36,201657,10,task-idt7,,42967032,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,4,block,item,iz4mgl,1,response,9,13647.800000000003,14248.199999999997,14265.199999999997,13647.800000000003,14248.199999999997,14265.199999999997,1,13647.800000000003,617.3999999999942,0,,Single Number Entry,response,2,object-109,block,,,0,,4,72 ÷ 8,,,,1,9,
15,1738440099668,01/02/2025 20:01:39,1738440099668,0,01/02/2025 20:01:39,201657,10,task-idt7,,42967032,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,8,instr,instr_text,19f9rf,1,continue,,3278.9999999997235,3265.9000000000087,3278.9999999997235,3278.9999999997235,3265.9000000000087,3278.9999999997235,1,3278.9999999997235,0,0,,Click To Continue,Continue Button,2,object-108,instr,8,Please click the button below to start answering questions.,,,,,,,,1,,
16,1738440101312,01/02/2025 20:01:41,1738440101312,0,01/02/2025 20:01:41,201657,10,task-idt7,,42967032,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,2,block_intro,Screen 1,j74kif,1,continue,,1656.799999999901,1649.699999999997,1656.799999999901,1656.799999999901,1649.699999999997,1656.799999999901,1,1656.799999999901,0,0,,Click To Continue,start,2,object-98,block_intro,,,1,Block 1,,,,,,1,,
17,1738440111966,01/02/2025 20:01:51,1738440111966,0,01/02/2025 20:01:51,201657,10,task-idt7,,42967032,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,5,block,item,iz4mgl,1,response,78,5016.300000000003,10648.599999999991,10661.799999999625,5016.300000000003,10648.599999999991,10661.799999999625,1,5016.300000000003,5645.499999999622,0,,Single Number Entry,response,2,object-109,block,,,1,,1,53 + 25,0,Easy,1,1,78,
18,1738440117272,01/02/2025 20:01:57,1738440117272,0,01/02/2025 20:01:57,201657,10,task-idt7,,42967032,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,6,block,item,iz4mgl,1,response,97,3033.2000000000116,5315.899999999994,5318.699999999633,3033.2000000000116,5315.899999999994,5318.699999999633,1,3033.2000000000116,2285.4999999996217,0,,Single Number Entry,response,2,object-109,block,,,1,,2,63 + 34,0,Easy,1,1,97,
