Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Randomise questionnaire elements?,Question Key,Response
1,1738439942883,01/02/2025 19:59:02,1738439942752,0,01/02/2025 19:59:02,201657,10,questionnaire-twip,,42967016,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1366x981,,,,Debrief sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738439945463,01/02/2025 19:59:05,1738439945360,0,01/02/2025 19:59:05,201657,10,questionnaire-twip,,42967016,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1366x981,,,,Debrief sheet,4,set2,No,END QUESTIONNAIRE,2607
1,1738442282359,01/02/2025 20:38:02,1738442280395,0,01/02/2025 20:38:00,201657,10,questionnaire-twip,,42967603,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,,Debrief sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738442307658,01/02/2025 20:38:27,1738442303850,0,01/02/2025 20:38:23,201657,10,questionnaire-twip,,42967603,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Debrief sheet,4,set1,No,END QUESTIONNAIRE,23455
1,1738450629145,01/02/2025 22:57:09,1738450627053,0,01/02/2025 22:57:07,201657,10,questionnaire-twip,,42969238,BLIND,12525331,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,,Debrief sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738450632583,01/02/2025 22:57:12,1738450630516,0,01/02/2025 22:57:10,201657,10,questionnaire-twip,,42969238,BLIND,12525331,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Debrief sheet,4,set1,No,END QUESTIONNAIRE,3463
1,1738506915221,02/02/2025 14:35:15,1738506915099,0,02/02/2025 14:35:15,201657,10,questionnaire-twip,,42976060,BLIND,12527224,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1,1512x982,1290x781,,,,Debrief sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738506917323,02/02/2025 14:35:17,1738506917251,0,02/02/2025 14:35:17,201657,10,questionnaire-twip,,42976060,BLIND,12527224,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1,1512x982,1275x781,,,,Debrief sheet,4,set2,No,END QUESTIONNAIRE,2152
1,1738599380488,03/02/2025 16:16:20,1738599379513,0,03/02/2025 16:16:19,201657,10,questionnaire-twip,,43011555,BLIND,12535707,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 129.0.0.0,1440x900,1440x778,,,,Debrief sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738599383862,03/02/2025 16:16:23,1738599382832,0,03/02/2025 16:16:22,201657,10,questionnaire-twip,,43011555,BLIND,12535707,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 129.0.0.0,1440x900,1440x778,,,,Debrief sheet,4,set1,No,END QUESTIONNAIRE,3319
1,1738607622796,03/02/2025 18:33:42,1738607622699,0,03/02/2025 18:33:42,201657,10,questionnaire-twip,,43017386,BLIND,12537636,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,,Debrief sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738607624636,03/02/2025 18:33:44,1738607624583,0,03/02/2025 18:33:44,201657,10,questionnaire-twip,,43017386,BLIND,12537636,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,,Debrief sheet,4,set2,No,END QUESTIONNAIRE,1884
