Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: block,Spreadsheet: block_number_text,Spreadsheet: item,Spreadsheet: item_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: item_correct,Manipulation: Spreadsheet
1,1738437233386,01/02/2025 19:13:53,1738437233386,0,01/02/2025 19:13:53,201657,10,task-drth,,42966416,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1024x1259,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
2,1738437234357,01/02/2025 19:13:54,1738437234357,0,01/02/2025 19:13:54,201657,10,task-drth,,42966416,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1024x1259,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,1,start,welcome,vo3k26,1,continue,,976,962,976,976,962,976,1,976,0,0,,Click To Continue,Continue Button,2,object-14,start,,,,,,,,,,,,
3,1738437242009,01/02/2025 19:14:02,1738437242009,0,01/02/2025 19:14:02,201657,10,task-drth,,42966416,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1024x1259,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,1,instr,instr_text,19f9rf,1,continue,,7667,7654,7667,7667,7654,7667,1,7667,0,0,,Click To Continue,Continue Button,2,object-108,instr,1,"TASK INSTRUCTIONS - PLEASE READ CAREFULLY! The goal of this study is to see how well people can focus during mental maths tasks. <br><br> Mind wandering is a term used to describe what occurs when your attention wanders from a task. Sometimes when your mind wanders, you begin thinking about personal events or concerns rather than your task. At other times, your mind can wander because you are bored or tired and you don’t really know what you’re thinking about; all you know is that you are no longer thinking about your task.<br><br>",,,,,,,,,,
4,1738437244751,01/02/2025 19:14:04,1738437244751,0,01/02/2025 19:14:04,201657,10,task-drth,,42966416,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1024x1259,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,2,instr,instr_text,19f9rf,1,continue,,2751,2735,2751,2751,2735,2751,1,2751,0,0,,Click To Continue,Continue Button,2,object-108,instr,2,"Importantly, mind wandering can occur either because you INTENTIONALLY decided to think about things that are unrelated to the task, OR because your thoughts UNINTENTIONALLY drifted away to task-unrelated thoughts, despite your best intentions to focus on the task. <br><br>",,,,,,,,,,
5,1738437247728,01/02/2025 19:14:07,1738437247728,0,01/02/2025 19:14:07,201657,10,task-drth,,42966416,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1024x1259,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,3,instr,instr_text,19f9rf,1,continue,,2997,2985,2997,2997,2985,2997,1,2997,0,0,,Click To Continue,Continue Button,2,object-108,instr,3,"Being ON TASK means that you were focused on completing the task and were not thinking about anything unrelated to the task. Some examples of ON TASK thoughts include thoughts about your performance on the task, or thoughts about your response. <br><br>",,,,,,,,,,
6,1738437252239,01/02/2025 19:14:12,1738437252239,0,01/02/2025 19:14:12,201657,10,task-drth,,42966416,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1024x1259,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,4,instr,instr_text,19f9rf,1,continue,,4520,4503,4520,4520,4503,4520,1,4520,0,0,,Click To Continue,Continue Button,2,object-108,instr,4,"In this task, you will be asked maths questions of varying difficulty.  As this is a mental maths task we ask that you do not use a calculator, your individual performance in maths is not being tested. <br><br> Enter your answer in the box and press ENTER or click on the Submit button to submit your answer.",,,,,,,,,,
7,1738437258811,01/02/2025 19:14:18,1738437258811,0,01/02/2025 19:14:18,201657,10,task-drth,,42966416,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1024x1259,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,5,instr,instr_text,19f9rf,1,continue,,6586,6570,6586,6586,6570,6586,1,6586,0,0,,Click To Continue,Continue Button,2,object-108,instr,5,"Additionally, while you are answering the questions you will be randomly interrupted and asked “WHICH OF THE FOLLOWING RESPONSES BEST CHARACTERISES YOUR MENTAL STATE JUST PRIOR TO THE PRESENTATION OF THIS SCREEN?"" You would have to choose either “On task”, ""Intentionally mind wandering"" or ""Unintentionally mind wandering"" by clicking on the appropriate option.<br><br>",,,,,,,,,,
8,1738437264272,01/02/2025 19:14:24,1738437264272,0,01/02/2025 19:14:24,201657,10,task-drth,,42966416,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1024x1259,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,6,instr,instr_text,19f9rf,1,continue,,5483.000000000004,5471,5483.000000000004,5483.000000000004,5471,5483.000000000004,1,5483.000000000004,0,0,,Click To Continue,Continue Button,2,object-108,instr,6,This entire task is self-paced. Though of course you should try NOT TO go over the task's ending time of 30 minutes.  There are 3 break periods within the task so try to do the task all the way through instead of taking too many small breaks in between. <br><br>,,,,,,,,,,
9,1738437265321,01/02/2025 19:14:25,1738437265321,0,01/02/2025 19:14:25,201657,10,task-drth,,42966416,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1024x1259,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,7,instr,instr_text,19f9rf,1,continue,,1061,1050,1061,1061,1050,1061,1,1061,0,0,,Click To Continue,Continue Button,2,object-108,instr,7,Please click the button below to start the practice.,,,,,,,,,,
10,1738437266597,01/02/2025 19:14:26,1738437266597,0,01/02/2025 19:14:26,201657,10,task-drth,,42966416,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1024x1259,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,1,block_intro,Screen 1,j74kif,1,continue,,1283,1267,1283,1283,1267,1283,1,1283,0,0,,Click To Continue,start,2,object-98,block_intro,,,0,Practice,,,,,,2,,
