Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-1lbn,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: blockType,Manipulation: Spreadsheet
49,1741098155447,04/03/2025 14:22:35,1741098155447,0,04/03/2025 14:22:35,210469,6,task-acau,,44046093,BLIND,12533310,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Physical B,Consent,,,Voucher,Physical B,Physical B,12,comprehension,Comprehension questions,ers3wv,1,response,d,9217.90000000596,9216.599999999977,9217.90000000596,9217.90000000596,9216.599999999977,9217.90000000596,1,9217.90000000596,0,0,,Click Response,response A,2,object-66,comprehension,,,6,4,,,,,,The overall goal of local government seems to be public,d,regulation,wealth,growth,welfare,protection,,,,,,
50,1741098168167,04/03/2025 14:22:48,1741098168167,0,04/03/2025 14:22:48,210469,6,task-acau,,44046093,BLIND,12533310,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Physical B,Consent,,,Voucher,Physical B,Physical B,3,passages,Sentences,3emlxf,1,response,space,12721.000000001513,12716.70000000007,12721.000000001513,12721.000000001513,12716.70000000007,12721.000000001513,1,12721.000000001513,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,8,0,Passage 8,0,Difficult,1,2,,,,,,,,,,,,,
51,1741098215727,04/03/2025 14:23:35,1741098215727,0,04/03/2025 14:23:35,210469,6,task-acau,,44046093,BLIND,12533310,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Physical B,Consent,,,Voucher,Physical B,Physical B,11,probe_physical,Thought probe (physical),ucvclj,1,response,On Task,47564.500000004424,47550,47564.500000004424,47564.500000004424,47550,47564.500000004424,1,47564.500000004424,0,0,,Click Response,On Task,2,object-87,probe_physical,,,,,,,,,,,,,,,,,,,,,,
52,1741098244551,04/03/2025 14:24:04,1741098244551,0,04/03/2025 14:24:04,210469,6,task-acau,,44046093,BLIND,12533310,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Physical B,Consent,,,Voucher,Physical B,Physical B,11,probe_physical,Return to physical text,5jjhzp,2,continue,,28838.699999999953,28833.5,28838.699999999953,28838.699999999953,28833.5,28838.699999999953,1,28838.699999999953,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
53,1741098245247,04/03/2025 14:24:05,1741098245247,0,04/03/2025 14:24:05,210469,6,task-acau,,44046093,BLIND,12533310,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Physical B,Consent,,,Voucher,Physical B,Physical B,12,probe_physical,Thought probe (physical),ucvclj,1,response,Unintentional,701.4000000029337,699.8999999999069,701.4000000029337,701.4000000029337,699.8999999999069,701.4000000029337,1,701.4000000029337,0,0,,Click Response,Unintentional,4,object-89,probe_physical,,,,,,,,,,,,,,,,,,,,,,
54,1741098281247,04/03/2025 14:24:41,1741098281247,0,04/03/2025 14:24:41,210469,6,task-acau,,44046093,BLIND,12533310,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Physical B,Consent,,,Voucher,Physical B,Physical B,12,probe_physical,Return to physical text,5jjhzp,2,continue,,36001.60000000452,36000,36001.60000000452,36001.60000000452,36000,36001.60000000452,1,36001.60000000452,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
55,1741098284128,04/03/2025 14:24:44,1741098284128,0,04/03/2025 14:24:44,210469,6,task-acau,,44046093,BLIND,12533310,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Physical B,Consent,,,Voucher,Physical B,Physical B,13,probe_physical,Thought probe (physical),ucvclj,1,response,On Task,2882.100000004517,2866.600000000093,2882.100000004517,2882.100000004517,2866.600000000093,2882.100000004517,1,2882.100000004517,0,0,,Click Response,On Task,2,object-87,probe_physical,,,,,,,,,,,,,,,,,,,,,,
56,1741098303535,04/03/2025 14:25:03,1741098303535,0,04/03/2025 14:25:03,210469,6,task-acau,,44046093,BLIND,12533310,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Physical B,Consent,,,Voucher,Physical B,Physical B,13,probe_physical,Return to physical text,5jjhzp,2,continue,,19422.500000004424,19416.79999999993,19422.500000004424,19422.500000004424,19416.79999999993,19422.500000004424,1,19422.500000004424,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
57,1741098305167,04/03/2025 14:25:05,1741098305167,0,04/03/2025 14:25:05,210469,6,task-acau,,44046093,BLIND,12533310,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Physical B,Consent,,,Voucher,Physical B,Physical B,4,instr_comprehension,Comprehension instruction,ki2jxw,1,response,space,1637.9000000000233,1633.5999999999767,1637.9000000000233,1637.9000000000233,1633.5999999999767,1637.9000000000233,1,1637.9000000000233,0,0,,Keyboard Response,Keyboard Response,2,object-78,instr_comprehension,,,,,,,,,,,,,,,,,,,,,,
58,1741098311447,04/03/2025 14:25:11,1741098311447,0,04/03/2025 14:25:11,210469,6,task-acau,,44046093,BLIND,12533310,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Physical B,Consent,,,Voucher,Physical B,Physical B,13,comprehension,Comprehension questions,ers3wv,1,response,e,6283.800000000047,6283,6283.800000000047,6283.800000000047,6283,6283.800000000047,1,6283.800000000047,0,0,,Click Response,response E,6,object-70,comprehension,,,8,1,,,,,,Specific mention is made of,e,psychogenesis,psychoynamics,psychobiology,psychotherapy,none of the above,,,,,,
