Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-1lbn,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: blockType,Manipulation: Spreadsheet
115,1741267591096,06/03/2025 13:26:31,1741267591096,0,06/03/2025 13:26:31,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,13,instr_passages,Text,zppu2h,1,response,space,25418.600000003004,25416.599999999977,25418.600000003004,25418.600000003004,25416.599999999977,25418.600000003004,1,25418.600000003004,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,5,"THE SET OF READING COMPREHENSION QUESTIONS FOR THAT PARTICULAR PASSAGE YOU’VE FINISHED READING WILL APPEAR AFTER EACH PASSAGE, not all together at the end. Like the sentences, once you've answered the questions you MAY NOT GO BACK TO CHANGE YOUR ANSWER.
<br><br> 
Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
116,1741267598735,06/03/2025 13:26:38,1741267598735,0,06/03/2025 13:26:38,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,14,instr_passages,Text,zppu2h,1,response,space,7641.699999998556,7633.300000000047,7641.699999998556,7641.699999998556,7633.300000000047,7641.699999998556,1,7641.699999998556,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,6,"Additionally, while you are reading you will be randomly interrupted and asked to answer this question on the computer screen: “WHICH OF THE FOLLOWING RESPONSES BEST CHARACTERISES YOUR MENTAL STATE JUST PRIOR TO THE PRESENTATION OF THIS SENTENCE?"" You would have to choose either “On task”, ""Intentionally mind wandering"" or ""Unintentionally mind wandering"" by clicking on the appropriate option.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
117,1741267617920,06/03/2025 13:26:57,1741267617920,0,06/03/2025 13:26:57,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,15,instr_passages,Text,zppu2h,1,response,space,19193.10000000149,19183.599999999977,19193.10000000149,19193.10000000149,19183.599999999977,19193.10000000149,1,19193.10000000149,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,8,Please turn the first page and begin reading the first passage.<br><br>Please press the space bar to continue.,,,,,,,,,,,,,,,,,,,,
118,1741267625456,06/03/2025 13:27:05,1741267625456,0,06/03/2025 13:27:05,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,1,probe_physical,Thought probe (physical),ucvclj,1,response,On Task,7545.6000000030035,7533.20000000007,7545.6000000030035,7545.6000000030035,7533.20000000007,7545.6000000030035,1,7545.6000000030035,0,0,,Click Response,On Task,2,object-87,probe_physical,,,,,,,,,,,,,,,,,,,,,,
119,1741267634416,06/03/2025 13:27:14,1741267634416,0,06/03/2025 13:27:14,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,1,probe_physical,Return to physical text,5jjhzp,2,continue,,8972.199999999953,8966.699999999953,8972.199999999953,8972.199999999953,8966.699999999953,8972.199999999953,1,8972.199999999953,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
120,1741267644376,06/03/2025 13:27:24,1741267644376,0,06/03/2025 13:27:24,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,2,probe_physical,Thought probe (physical),ucvclj,1,response,On Task,9965.39999999851,9950.300000000047,9965.39999999851,9965.39999999851,9950.300000000047,9965.39999999851,1,9965.39999999851,0,0,,Click Response,On Task,2,object-87,probe_physical,,,,,,,,,,,,,,,,,,,,,,
121,1741267654888,06/03/2025 13:27:34,1741267654888,0,06/03/2025 13:27:34,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,2,probe_physical,Return to physical text,5jjhzp,2,continue,,10527.500000004424,10516.699999999953,10527.500000004424,10527.500000004424,10516.699999999953,10527.500000004424,1,10527.500000004424,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
122,1741267660840,06/03/2025 13:27:40,1741267660840,0,06/03/2025 13:27:40,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,5,instr_comprehension,Comprehension instruction,ki2jxw,1,response,space,5962.39999999851,5949.800000000047,5962.39999999851,5962.39999999851,5949.800000000047,5962.39999999851,1,5962.39999999851,0,0,,Keyboard Response,Keyboard Response,2,object-78,instr_comprehension,,,,,,,,,,,,,,,,,,,,,,
123,1741267712760,06/03/2025 13:28:32,1741267712760,0,06/03/2025 13:28:32,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,21,comprehension,Comprehension questions,ers3wv,1,response,c,51932.59999999846,51916.80000000005,51932.59999999846,51932.59999999846,51916.80000000005,51932.59999999846,1,51932.59999999846,0,0,,Click Response,response C,4,object-68,comprehension,,,2,1,,,,,,Our economic well-being is determined largely by how many factors?,c,One,Two,Three,Four,Five,,,,,,
124,1741267719560,06/03/2025 13:28:39,1741267719560,0,06/03/2025 13:28:39,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,22,comprehension,Comprehension questions,ers3wv,1,response,d,6815.700000004377,6799.799999999814,6815.700000004377,6815.700000004377,6799.799999999814,6815.700000004377,1,6815.700000004377,0,0,,Click Response,response D,5,object-69,comprehension,,,2,2,,,,,,One major factor mentioned as affecting our economic well-being was,d,high wages,low interest rates,technology,employment,foreign trade,,,,,,
125,1741267723560,06/03/2025 13:28:43,1741267723560,0,06/03/2025 13:28:43,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,23,comprehension,Comprehension questions,ers3wv,1,response,d,4015.7000000015832,4000,4015.7000000015832,4015.7000000015832,4000,4015.7000000015832,1,4015.7000000015832,0,0,,Click Response,response D,5,object-69,comprehension,,,2,3,,,,,,The purpose of this passage is to,d,persuade,guide,evaluate,inform,interest,,,,,,
126,1741267734976,06/03/2025 13:28:54,1741267734976,0,06/03/2025 13:28:54,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,24,comprehension,Comprehension questions,ers3wv,1,response,e,11432.100000000093,11416.90000000014,11432.100000000093,11432.100000000093,11416.90000000014,11432.100000000093,1,11432.100000000093,0,0,,Click Response,response B,3,object-67,comprehension,,,2,4,,,,,,The chief emphasis is on,e,defining marketing,principles of marketing,opportunities in marketing,kinds of jobs in marketing,the economic significance of marketing,,,,,,
127,1741267745928,06/03/2025 13:29:05,1741267745928,0,06/03/2025 13:29:05,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,63,passages,Sentences,3emlxf,1,response,space,10966.399999999907,10949.899999999907,10966.399999999907,10966.399999999907,10949.899999999907,10966.399999999907,1,10966.399999999907,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,,,Passage 4,,,,,,,,,,,,,,,,,
128,1741267751952,06/03/2025 13:29:11,1741267751952,0,06/03/2025 13:29:11,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,3,probe_physical,Thought probe (physical),ucvclj,1,response,On Task,6041.100000004517,6033.40000000014,6041.100000004517,6041.100000004517,6033.40000000014,6041.100000004517,1,6041.100000004517,0,0,,Click Response,On Task,2,object-87,probe_physical,,,,,,,,,,,,,,,,,,,,,,
129,1741267818072,06/03/2025 13:30:18,1741267818072,0,06/03/2025 13:30:18,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,3,probe_physical,Return to physical text,5jjhzp,2,continue,,66127.79999999842,66116.79999999981,66127.79999999842,66127.79999999842,66116.79999999981,66127.79999999842,1,66127.79999999842,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
130,1741267820296,06/03/2025 13:30:20,1741267820296,0,06/03/2025 13:30:20,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,4,probe_physical,Thought probe (physical),ucvclj,1,response,Intentional,2234.7000000015832,2233.2000000001863,2234.7000000015832,2234.7000000015832,2233.2000000001863,2234.7000000015832,1,2234.7000000015832,0,0,,Click Response,Intentional,3,object-88,probe_physical,,,,,,,,,,,,,,,,,,,,,,
131,1741267821264,06/03/2025 13:30:21,1741267821264,0,06/03/2025 13:30:21,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,4,probe_physical,Return to physical text,5jjhzp,2,continue,,969.7000000043772,966.5999999998603,969.7000000043772,969.7000000043772,966.5999999998603,969.7000000043772,1,969.7000000043772,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
132,1741267835200,06/03/2025 13:30:35,1741267835200,0,06/03/2025 13:30:35,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,5,probe_physical,Thought probe (physical),ucvclj,1,response,Intentional,13939.199999998556,13933.5,13939.199999998556,13939.199999998556,13933.5,13939.199999998556,1,13939.199999998556,0,0,,Click Response,Intentional,3,object-88,probe_physical,,,,,,,,,,,,,,,,,,,,,,
133,1741267836264,06/03/2025 13:30:36,1741267836264,0,06/03/2025 13:30:36,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,5,probe_physical,Return to physical text,5jjhzp,2,continue,,1069.600000004517,1066.6000000000931,1069.600000004517,1069.600000004517,1066.6000000000931,1069.600000004517,1,1069.600000004517,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
134,1741267847840,06/03/2025 13:30:47,1741267847840,0,06/03/2025 13:30:47,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,6,probe_physical,Thought probe (physical),ucvclj,1,response,Unintentional,11579.400000002934,11566.800000000047,11579.400000002934,11579.400000002934,11566.800000000047,11579.400000002934,1,11579.400000002934,0,0,,Click Response,Unintentional,4,object-89,probe_physical,,,,,,,,,,,,,,,,,,,,,,
135,1741267848728,06/03/2025 13:30:48,1741267848728,0,06/03/2025 13:30:48,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,6,probe_physical,Return to physical text,5jjhzp,2,continue,,899.8999999999069,883.1999999999534,899.8999999999069,899.8999999999069,883.1999999999534,899.8999999999069,1,899.8999999999069,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
136,1741267855471,06/03/2025 13:30:55,1741267855471,0,06/03/2025 13:30:55,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,6,instr_comprehension,Comprehension instruction,ki2jxw,1,response,space,6760.300000001444,6749.800000000047,6760.300000001444,6760.300000001444,6749.800000000047,6760.300000001444,1,6760.300000001444,0,0,,Keyboard Response,Keyboard Response,2,object-78,instr_comprehension,,,,,,,,,,,,,,,,,,,,,,
137,1741267864600,06/03/2025 13:31:04,1741267864600,0,06/03/2025 13:31:04,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,25,comprehension,Comprehension questions,ers3wv,1,response,b,9139.299999998417,9133.5,9139.299999998417,9139.299999998417,9133.5,9139.299999998417,1,9139.299999998417,0,0,,Click Response,response D,5,object-69,comprehension,,,4,1,,,,,,One weather satellite was named,b,Latos,Tiros,Prometheus,Sonar,Satelos,,,,,,
138,1741267906584,06/03/2025 13:31:46,1741267906584,0,06/03/2025 13:31:46,210469,6,task-d2yz,,44127956,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,26,comprehension,Comprehension questions,ers3wv,1,response,a,41989.60000000289,41983.39999999991,41989.60000000289,41989.60000000289,41983.39999999991,41989.60000000289,1,41989.60000000289,0,0,,Click Response,response A,2,object-66,comprehension,,,4,2,,,,,,One of the Mariners photographed how much of the surface of Mars?,a,One percent,Two percent,Three percent,Four percent,Five percent,,,,,,
