Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-1lbn,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: blockType,Manipulation: Spreadsheet
119,1741088744849,04/03/2025 11:45:44,1741088744849,0,04/03/2025 11:45:44,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,7,probe,Thought probe,muxvwp,1,response,Intentional,7629.700000001583,7616.700000000186,7629.700000001583,7629.700000001583,7616.700000000186,7629.700000001583,1,7629.700000001583,0,0,,Click Response,Intentional,3,object-82,probe,,,,,,,,,,,,,,,,,,,,,,
120,1741088749536,04/03/2025 11:45:49,1741088749536,0,04/03/2025 11:45:49,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,34,passages,Sentences,3emlxf,1,response,space,4699.699999999953,4683.199999999953,4699.699999999953,4699.699999999953,4683.199999999953,4699.699999999953,1,4699.699999999953,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,2,The primitive tribe that chose the strongest man to be its chief and the oldest men to form a council was establishing local government.,0,Difficult,1,2,,,,,,,,,,,,,
121,1741088751626,04/03/2025 11:45:51,1741088751626,0,04/03/2025 11:45:51,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,35,passages,Sentences,3emlxf,1,response,space,2107.1000000021886,2100.0999999998603,2107.1000000021886,2107.1000000021886,2100.0999999998603,2107.1000000021886,1,2107.1000000021886,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,3,"It was seeking a better, safer life.",0,Difficult,1,2,,,,,,,,,,,,,
122,1741088756584,04/03/2025 11:45:56,1741088756584,0,04/03/2025 11:45:56,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,36,passages,Sentences,3emlxf,1,response,space,4965.299999999348,4950,4965.299999999348,4965.299999999348,4950,4965.299999999348,1,4965.299999999348,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,4,"In the same way, the need for rules and leaders was realized by the first English settlers who landed at Jamestown, Virginia, in 1607.",0,Difficult,1,2,,,,,,,,,,,,,
123,1741088758984,04/03/2025 11:45:58,1741088758984,0,04/03/2025 11:45:58,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,37,passages,Sentences,3emlxf,1,response,space,2415.2000000015832,2400,2415.2000000015832,2415.2000000015832,2400,2415.2000000015832,1,2415.2000000015832,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,5,"At first, the settlers at Jamestown had to shepherd themselves.",0,Difficult,1,2,,,,,,,,,,,,,
124,1741088761904,04/03/2025 11:46:01,1741088761904,0,04/03/2025 11:46:01,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,38,passages,Sentences,3emlxf,1,response,space,2935.2000000015832,2933.4000000001397,2935.2000000015832,2935.2000000015832,2933.4000000001397,2935.2000000015832,1,2935.2000000015832,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,6,"The colonists searched for gold, and had to find their own sustenance and provide their own sanctuary. ",0,Difficult,1,2,,,,,,,,,,,,,
125,1741088766664,04/03/2025 11:46:06,1741088766664,0,04/03/2025 11:46:06,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,39,passages,Sentences,3emlxf,1,response,space,4761.699999999953,4750.09999999986,4761.699999999953,4761.699999999953,4750.09999999986,4761.699999999953,1,4761.699999999953,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,7,"As food supplies began to run low, and as the colonists faced hunger and disease, they saw that they needed to work together if the colony was to survive.",1,Difficult,1,2,,,,,,,,,,,,,
126,1741088769400,04/03/2025 11:46:09,1741088769400,0,04/03/2025 11:46:09,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,8,probe,Thought probe,muxvwp,1,response,On Task,2747.799999999348,2733.100000000093,2747.799999999348,2747.799999999348,2733.100000000093,2747.799999999348,1,2747.799999999348,0,0,,Click Response,On Task,2,object-81,probe,,,,,,,,,,,,,,,,,,,,,,
127,1741088771368,04/03/2025 11:46:11,1741088771368,0,04/03/2025 11:46:11,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,40,passages,Sentences,3emlxf,1,response,space,1982.4000000022352,1966.8000000000466,1982.4000000022352,1982.4000000022352,1966.8000000000466,1982.4000000022352,1,1982.4000000022352,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,8,A council to make laws for the colony was formed by the settlers.,0,Difficult,1,2,,,,,,,,,,,,,
128,1741088774040,04/03/2025 11:46:14,1741088774040,0,04/03/2025 11:46:14,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,41,passages,Sentences,3emlxf,1,response,space,2688.0000000006985,2683.3000000000466,2688.0000000006985,2688.0000000006985,2683.3000000000466,2688.0000000006985,1,2688.0000000006985,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,9,Captain John Smith was chosen as president of the council to see that the laws were implemented.,0,Difficult,1,2,,,,,,,,,,,,,
