Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-1lbn,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: blockType,Manipulation: Spreadsheet
11,1740488763073,25/02/2025 13:06:03,1740488763073,0,25/02/2025 13:06:03,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,9,instr_passages,Text,zppu2h,1,response,space,8158.300000000003,8150,8158.300000000003,8158.300000000003,8150,8158.300000000003,1,8158.300000000003,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,7,"This entire task is self-paced. However, each task should take around 15 minutes to complete (30 minutes overall). Please try to do the task all the way through instead of taking too many small breaks in between. The task isn't long so you should be able to do it without taking any breaks. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
12,1740488777425,25/02/2025 13:06:17,1740488777425,0,25/02/2025 13:06:17,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,10,instr_passages,Text,zppu2h,1,response,space,14360.700000002238,14350.100000000006,14360.700000002238,14360.700000002238,14350.100000000006,14360.700000002238,1,14360.700000002238,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,8,Please press the space bar to start reading the first passage.,,,,,,,,,,,,,,,,,,,,
13,1740488830922,25/02/2025 13:07:10,1740488830922,0,25/02/2025 13:07:10,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,1,passages,Sentences,3emlxf,1,response,space,53506.90000000298,53500.09999999999,53506.90000000298,53506.90000000298,53500.09999999999,53506.90000000298,1,53506.90000000298,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,0,Passage 2,0,Difficult,1,2,,,,,,,,,,,,,
14,1740488956378,25/02/2025 13:09:16,1740488956378,0,25/02/2025 13:09:16,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,2,passages,Sentences,3emlxf,1,response,space,125462.7000000015,125450.19999999998,125462.7000000015,125462.7000000015,125450.19999999998,125462.7000000015,1,125462.7000000015,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,1,The performance of those business activities that direct the flow of goods and services from producer to consumer or user is called marketing. ,0,Difficult,1,2,,,,,,,,,,,,,
15,1740488958689,25/02/2025 13:09:18,1740488958689,0,25/02/2025 13:09:18,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,3,passages,Sentences,3emlxf,1,response,space,2324.0000000015134,2316.8000000000466,2324.0000000015134,2324.0000000015134,2316.8000000000466,2324.0000000015134,1,2324.0000000015134,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,2,Marketing is the connecting link between the producer and the consumer or user.,0,Difficult,1,2,,,,,,,,,,,,,
16,1740488961057,25/02/2025 13:09:21,1740488961057,0,25/02/2025 13:09:21,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,4,passages,Sentences,3emlxf,1,response,space,2375.400000000722,2366.5,2375.400000000722,2375.400000000722,2366.5,2375.400000000722,1,2375.400000000722,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,3,Production and consumption are brought together by the marketing system.,0,Difficult,1,2,,,,,,,,,,,,,
17,1740488965649,25/02/2025 13:09:25,1740488965649,0,25/02/2025 13:09:25,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,5,passages,Sentences,3emlxf,1,response,space,4600.099999999977,4583.399999999965,4600.099999999977,4600.099999999977,4583.399999999965,4600.099999999977,1,4600.099999999977,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,4,Wholesaling or retailing activities are directly engaged in by approximately one in every six gainfully employed persons.,0,Difficult,1,2,,,,,,,,,,,,,
18,1740488969649,25/02/2025 13:09:29,1740488969649,0,25/02/2025 13:09:29,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,6,passages,Sentences,3emlxf,1,response,space,4017.400000002992,4016.600000000035,4017.400000002992,4017.400000002992,4016.600000000035,4017.400000002992,1,4017.400000002992,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,5,"This ratio does not take into account other persons who are serving marketing through transportation, communication, and office vocations.",0,Difficult,1,2,,,,,,,,,,,,,
19,1740488973849,25/02/2025 13:09:33,1740488973849,0,25/02/2025 13:09:33,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,7,passages,Sentences,3emlxf,1,response,space,4200.300000000047,4183.5,4200.300000000047,4200.300000000047,4183.5,4200.300000000047,1,4200.300000000047,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,6,Opportunities for many kinds of positions requiring a wide range of skills and abilities is provided by marketing.,0,Difficult,1,2,,,,,,,,,,,,,
20,1740488981226,25/02/2025 13:09:41,1740488981226,0,25/02/2025 13:09:41,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,8,passages,Sentences,3emlxf,1,response,space,7393.500000002212,7383.199999999953,7393.500000002212,7393.500000002212,7383.199999999953,7393.500000002212,1,7393.500000002212,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,7,"Although one naturally thinks of merchandising as being the primary occupation in marketing, there are opportunities in management, advertising, market and product research, and purchasing.",0,Difficult,1,2,,,,,,,,,,,,,
