Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,branch-s3b7,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Voucher,Store: Prize,branch-dgjt
1,1753208981358,22/07/2025 18:29,1753212581358,1,22/07/2025 20:29,234742,9,questionnaire-rusm,,48253142,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,,,No Voucher
5,1753208984922,22/07/2025 18:29,1753212584922,1,22/07/2025 20:29,234742,9,questionnaire-rusm,,48253142,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,value,No,,Yes|No,Multiple Choice,2,object-21,,0,No Voucher
6,1753208984922,22/07/2025 18:29,1753212584922,1,22/07/2025 20:29,234742,9,questionnaire-rusm,,48253142,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,quantised,2,,Yes|No,Multiple Choice,2,object-21,,0,No Voucher
7,1753208984922,22/07/2025 18:29,1753212584922,1,22/07/2025 20:29,234742,9,questionnaire-rusm,,48253142,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,Prize,response,score,0,,,,,,,,No Voucher
8,1753208984922,22/07/2025 18:29,1753212584922,1,22/07/2025 20:29,234742,9,questionnaire-rusm,,48253142,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,,info,,END,3535,,,,,,,No Voucher
1,1753262042081,23/07/2025 09:14,1753265642081,1,23/07/2025 11:14,234742,9,questionnaire-rusm,,48260504,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,,,Voucher
5,1753262058493,23/07/2025 09:14,1753265658493,1,23/07/2025 11:14,234742,9,questionnaire-rusm,,48260504,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,value,Yes,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
6,1753262058493,23/07/2025 09:14,1753265658493,1,23/07/2025 11:14,234742,9,questionnaire-rusm,,48260504,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,quantised,1,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
7,1753262058493,23/07/2025 09:14,1753265658493,1,23/07/2025 11:14,234742,9,questionnaire-rusm,,48260504,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,Prize,response,score,1,,,,,,,,Voucher
8,1753262058493,23/07/2025 09:14,1753265658493,1,23/07/2025 11:14,234742,9,questionnaire-rusm,,48260504,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,,info,,END,16385,,,,,,,Voucher
