Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,branch-s3b7,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,branch-dgjt
3,1753353098862,24/07/2025 10:31,1753356698862,1,24/07/2025 12:31,234742,9,questionnaire-k4b1,,48283796,BLINDED,13869316,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1504x1003,1449x879,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,END,8071,,,,,Voucher
1,1753352986995,24/07/2025 10:29,1753356586995,1,24/07/2025 12:29,234742,9,questionnaire-k4b1,,48283842,BLINDED,13869340,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x585,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753352995262,24/07/2025 10:29,1753356595262,1,24/07/2025 12:29,234742,9,questionnaire-k4b1,,48283842,BLINDED,13869340,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x585,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,END,8260,,,,,Voucher
1,1753386974494,24/07/2025 19:56,1753390574494,1,24/07/2025 21:56,234742,9,questionnaire-k4b1,,48296000,BLINDED,13872305,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x564,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753386978601,24/07/2025 19:56,1753390578601,1,24/07/2025 21:56,234742,9,questionnaire-k4b1,,48296000,BLINDED,13872305,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x564,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,4100,,,,,Voucher
1,1753395023828,24/07/2025 22:10,1753398623828,1,25/07/2025 00:10,234742,9,questionnaire-k4b1,,48297366,BLINDED,13872675,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x778,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,No Voucher
3,1753395026222,24/07/2025 22:10,1753398626222,1,25/07/2025 00:10,234742,9,questionnaire-k4b1,,48297366,BLINDED,13872675,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x778,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,2390,,,,,No Voucher
1,1753432250476,25/07/2025 08:30,1753435850476,1,25/07/2025 10:30,234742,9,questionnaire-k4b1,,48302939,BLINDED,13873740,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x730,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753432255430,25/07/2025 08:30,1753435855430,1,25/07/2025 10:30,234742,9,questionnaire-k4b1,,48302939,BLINDED,13873740,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x730,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,END,4936,,,,,Voucher
1,1753456379695,25/07/2025 15:12,1753459979695,1,25/07/2025 17:12,234742,9,questionnaire-k4b1,,48313753,BLINDED,13875906,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 137.0.0.0,1470x956,1470x832,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,No Voucher
