Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: blockType,Manipulation: Spreadsheet
11,1740488977116,25/02/2025 13:09:37,1740488977116,0,25/02/2025 13:09:37,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,9,instr_passages,Text,zppu2h,1,response,space,14545.899999997753,14533.199999999983,14545.899999997753,14545.899999997753,14533.199999999983,14545.899999997753,1,14545.899999997753,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,8,"This entire task is self-paced. However, each task should take around 15 minutes to complete (30 minutes overall). Please try to do the task all the way through instead of taking too many small breaks in between. The task isn't long so you should be able to do it without taking any breaks. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
12,1740488978932,25/02/2025 13:09:38,1740488978932,0,25/02/2025 13:09:38,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,10,instr_passages,Text,zppu2h,1,response,space,1828.4999999985157,1816.6000000000058,1828.4999999985157,1828.4999999985157,1816.6000000000058,1828.4999999985157,1,1828.4999999985157,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,9,Please press the space bar to start reading the first passage.,,,,,,,,,,,,,,,,,,,,
13,1740488982228,25/02/2025 13:09:42,1740488982228,0,25/02/2025 13:09:42,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,1,passages,Sentences,3emlxf,1,response,space,3308.199999999255,3300.5,3308.199999999255,3308.199999999255,3300.5,3308.199999999255,1,3308.199999999255,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,0,Passage 1,0,Difficult,1,1,,,,,,,,,,,,,
14,1740488989868,25/02/2025 13:09:49,1740488989868,0,25/02/2025 13:09:49,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,2,passages,Sentences,3emlxf,1,response,space,7647.5,7633.200000000012,7647.5,7647.5,7633.200000000012,7647.5,1,7647.5,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,1,"A few had been astute enough to see a fine poet in Browning, and Elizabeth Barrett was one of them. ",0,Difficult,1,1,,,,,,,,,,,,,
15,1740489003444,25/02/2025 13:10:03,1740489003444,0,25/02/2025 13:10:03,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,3,passages,Sentences,3emlxf,1,response,space,13590.100000000733,13583.099999999977,13590.100000000733,13590.100000000733,13583.099999999977,13590.100000000733,1,13590.100000000733,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,2,"The young man with the lemon-colored gloves and long dark hair and high-strung, restless manner who had visited her in 1846 had been moved to write to her because she had praised his poetry.",1,Difficult,1,1,,,,,,,,,,,,,
16,1740489009380,25/02/2025 13:10:09,1740489009380,0,25/02/2025 13:10:09,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,1,probe,Thought probe,muxvwp,1,response,On Task,5943.5999999985215,5933.200000000012,5943.5999999985215,5943.5999999985215,5933.200000000012,5943.5999999985215,1,5943.5999999985215,0,0,,Click Response,On Task,2,object-81,probe,,,,,,,,,,,,,,,,,,,,,,
17,1740489030756,25/02/2025 13:10:30,1740489030756,0,25/02/2025 13:10:30,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,4,passages,Sentences,3emlxf,1,response,space,21386,21383.399999999994,21386,21386,21383.399999999994,21386,1,21386,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,3,"She found the man even more to her liking than the verse, and it was not so very long-only the time between May, 1845 and September, 1846-before Robert Browning had stolen the poetess from the dour father who guarded her like a dragon (never wanting her to marry any man), and taken her with him to Italy and a new life.",1,Difficult,1,1,,,,,,,,,,,,,
18,1740489033404,25/02/2025 13:10:33,1740489033404,0,25/02/2025 13:10:33,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,2,probe,Thought probe,muxvwp,1,response,Intentional,2650.7999999992608,2650,2650.7999999992608,2650.7999999992608,2650,2650.7999999992608,1,2650.7999999992608,0,0,,Click Response,Intentional,3,object-82,probe,,,,,,,,,,,,,,,,,,,,,,
19,1740489042924,25/02/2025 13:10:42,1740489042924,0,25/02/2025 13:10:42,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,5,passages,Sentences,3emlxf,1,response,space,9520.499999998516,9516.899999999994,9520.499999998516,9520.499999998516,9516.899999999994,9520.499999998516,1,9520.499999998516,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,4,"One morning, soon after their nuptials, Elizabeth Browning thrust a manuscript into her husband’s pocket, and then scampered upstairs in a swift confusion to her room. ",0,Difficult,1,1,,,,,,,,,,,,,
20,1740489047515,25/02/2025 13:10:47,1740489047515,0,25/02/2025 13:10:47,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,6,passages,Sentences,3emlxf,1,response,space,4595.2999999977765,4583.100000000006,4595.2999999977765,4595.2999999977765,4583.100000000006,4595.2999999977765,1,4595.2999999977765,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,5,"Written during the time of their courtship and love missives, it was a sonnet sequence on their love.",0,Difficult,1,1,,,,,,,,,,,,,
