Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: blockType,Manipulation: Spreadsheet
11,1741086750715,04/03/2025 11:12:30,1741086750715,0,04/03/2025 11:12:30,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,9,instr_passages,Text,zppu2h,1,response,space,18726.5,18716.5,18726.5,18726.5,18716.5,18726.5,1,18726.5,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,7,"This entire task is self-paced. However, each task should take around 15 minutes to complete (30 minutes overall). Please try to do the task all the way through instead of taking too many small breaks in between. The task isn't long so you should be able to do it without taking any breaks. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
12,1741086752602,04/03/2025 11:12:32,1741086752602,0,04/03/2025 11:12:32,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,10,instr_passages,Text,zppu2h,1,response,space,1897.1000000014901,1883.5,1897.1000000014901,1897.1000000014901,1883.5,1897.1000000014901,1,1897.1000000014901,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,8,Please turn the first page and begin reading the first passage.<br><br>Please press the space bar to continue.,,,,,,,,,,,,,,,,,,,,
13,1741086754642,04/03/2025 11:12:34,1741086754642,0,04/03/2025 11:12:34,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,1,passages,Sentences,3emlxf,1,response,space,2053.5,2049.899999999994,2053.5,2053.5,2049.899999999994,2053.5,1,2053.5,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,,,Passage 1,,,,,,,,,,,,,,,,,
14,1741086804354,04/03/2025 11:13:24,1741086804354,0,04/03/2025 11:13:24,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,1,probe_physical,Thought probe (physical),ucvclj,1,response,On Task,49716.200000001496,49699.899999999994,49716.200000001496,49716.200000001496,49699.899999999994,49716.200000001496,1,49716.200000001496,0,0,,Click Response,On Task,2,object-87,probe_physical,,,,,,,,,,,,,,,,,,,,,,
15,1741086805706,04/03/2025 11:13:25,1741086805706,0,04/03/2025 11:13:25,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,1,probe_physical,Return to physical text,5jjhzp,2,continue,,1368.1000000022468,1366.8000000000175,1368.1000000022468,1368.1000000022468,1366.8000000000175,1368.1000000022468,1,1368.1000000022468,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
16,1741086839458,04/03/2025 11:13:59,1741086839458,0,04/03/2025 11:13:59,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,2,probe_physical,Thought probe (physical),ucvclj,1,response,On Task,33753.30000000223,33750.100000000006,33753.30000000223,33753.30000000223,33750.100000000006,33753.30000000223,1,33753.30000000223,0,0,,Click Response,On Task,2,object-87,probe_physical,,,,,,,,,,,,,,,,,,,,,,
17,1741086841258,04/03/2025 11:14:01,1741086841258,0,04/03/2025 11:14:01,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,2,probe_physical,Return to physical text,5jjhzp,2,continue,,1803.1000000007334,1800.2000000000116,1803.1000000007334,1803.1000000007334,1800.2000000000116,1803.1000000007334,1,1803.1000000007334,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
18,1741086979802,04/03/2025 11:16:19,1741086979802,0,04/03/2025 11:16:19,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,3,probe_physical,Thought probe (physical),ucvclj,1,response,On Task,138547.20000000147,138533.69999999995,138547.20000000147,138547.20000000147,138533.69999999995,138547.20000000147,1,138547.20000000147,0,0,,Click Response,On Task,2,object-87,probe_physical,,,,,,,,,,,,,,,,,,,,,,
19,1741086981490,04/03/2025 11:16:21,1741086981490,0,04/03/2025 11:16:21,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,3,probe_physical,Return to physical text,5jjhzp,2,continue,,1701.2000000007683,1699.5,1701.2000000007683,1701.2000000007683,1699.5,1701.2000000007683,1,1701.2000000007683,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
20,1741086999835,04/03/2025 11:16:39,1741086999835,0,04/03/2025 11:16:39,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,4,probe_physical,Thought probe (physical),ucvclj,1,response,On Task,18346.09999999928,18333.400000000023,18346.09999999928,18346.09999999928,18333.400000000023,18346.09999999928,1,18346.09999999928,0,0,,Click Response,On Task,2,object-87,probe_physical,,,,,,,,,,,,,,,,,,,,,,
