Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: blockType,Manipulation: Spreadsheet
112,1741349619155,07/03/2025 12:13:39,1741349619155,0,07/03/2025 12:13:39,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,5,probe_physical,Thought probe (physical),ucvclj,1,response,On Task,671.0999999970663,666.4000000000233,671.0999999970663,671.0999999970663,666.4000000000233,671.0999999970663,1,671.0999999970663,0,0,,Click Response,On Task,2,object-87,probe_physical,,,,,,,,,,,,,,,,,,,,,,
113,1741349629947,07/03/2025 12:13:49,1741349629947,0,07/03/2025 12:13:49,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,5,probe_physical,Return to physical text,5jjhzp,2,continue,,10796.499999997788,10783.20000000007,10796.499999997788,10796.499999997788,10783.20000000007,10796.499999997788,1,10796.499999997788,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
114,1741349630515,07/03/2025 12:13:50,1741349630515,0,07/03/2025 12:13:50,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,6,probe_physical,Thought probe (physical),ucvclj,1,response,On Task,581.4999999969732,566.8999999999069,581.4999999969732,581.4999999969732,566.8999999999069,581.4999999969732,1,581.4999999969732,0,0,,Click Response,On Task,2,object-87,probe_physical,,,,,,,,,,,,,,,,,,,,,,
115,1741349697699,07/03/2025 12:14:57,1741349697699,0,07/03/2025 12:14:57,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,6,probe_physical,Return to physical text,5jjhzp,2,continue,,67198.80000000005,67183.5,67198.80000000005,67198.80000000005,67183.5,67198.80000000005,1,67198.80000000005,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
116,1741349698547,07/03/2025 12:14:58,1741349698547,0,07/03/2025 12:14:58,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,7,probe_physical,Thought probe (physical),ucvclj,1,response,On Task,863.1999999985565,849.9000000000233,863.1999999985565,863.1999999985565,849.9000000000233,863.1999999985565,1,863.1999999985565,0,0,,Click Response,On Task,2,object-87,probe_physical,,,,,,,,,,,,,,,,,,,,,,
117,1741349703651,07/03/2025 12:15:03,1741349703651,0,07/03/2025 12:15:03,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,7,probe_physical,Return to physical text,5jjhzp,2,continue,,5116.300000000047,5099.900000000023,5116.300000000047,5116.300000000047,5099.900000000023,5116.300000000047,1,5116.300000000047,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
118,1741349705259,07/03/2025 12:15:05,1741349705259,0,07/03/2025 12:15:05,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,5,instr_comprehension,Comprehension instruction,ki2jxw,1,response,space,1625.2999999970198,1616.8000000000466,1625.2999999970198,1625.2999999970198,1616.8000000000466,1625.2999999970198,1,1625.2999999970198,0,0,,Keyboard Response,Keyboard Response,2,object-78,instr_comprehension,,,,,,,,,,,,,,,,,,,,,,
119,1741349709251,07/03/2025 12:15:09,1741349709251,0,07/03/2025 12:15:09,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,17,comprehension,Comprehension questions,ers3wv,1,response,b,3999.899999999907,3983.29999999993,3999.899999999907,3999.899999999907,3983.29999999993,3999.899999999907,1,3999.899999999907,0,0,,Click Response,response B,3,object-67,comprehension,,,1,1,,,,,,Flush was the name of the Brownings’,b,cat,dog,canary,turtle,thrush,,,,,,
120,1741349714787,07/03/2025 12:15:14,1741349714787,0,07/03/2025 12:15:14,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,18,comprehension,Comprehension questions,ers3wv,1,response,a,5553.099999999278,5550,5553.099999999278,5553.099999999278,5550,5553.099999999278,1,5553.099999999278,0,0,,Click Response,response A,2,object-66,comprehension,,,1,2,,,,,,At night the Brownings often enjoyed,a,hot chestnuts,a tart with clotted cream,strawberries and cream,café au lait,cheese soufflé,,,,,,
121,1741349718812,07/03/2025 12:15:18,1741349718812,0,07/03/2025 12:15:18,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,19,comprehension,Comprehension questions,ers3wv,1,response,e,4027.599999999278,4016.5999999999767,4027.599999999278,4027.599999999278,4016.5999999999767,4027.599999999278,1,4027.599999999278,0,0,,Click Response,response E,6,object-70,comprehension,,,1,3,,,,,,The Brownings saw,e,Coleridge,Byron,Walt Whitman,Poe,Hawthorne,,,,,,
