Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instr_text,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: random_blocks,Spreadsheet: random_trials,Spreadsheet: size,randomiser-mq2e,branch-s3b7,branch-dgjt
31,1753197895029,22/07/2025 15:24,1753201495029,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,14,trial_withFeedback,mask,zabu7l,2,response,space,552.9000000000015,549.7000000000044,552.9000000000015,552.9000000000015,549.7000000000044,552.9000000000015,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,2,space,,,170,probe_selfreport,Eligible,Voucher
32,1753197896226,22/07/2025 15:24,1753201496226,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,15,trial_withFeedback,digit,9x41os,1,timedOut,,200.59999997615523,199.79999999999563,200.59999997615523,200.59999997615523,199.79999999999563,200.59999997615523,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,8,space,,,100,probe_selfreport,Eligible,Voucher
33,1753197896447,22/07/2025 15:24,1753201496447,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,15,trial_withFeedback,mask,zabu7l,2,response,space,221.90000000000146,216.40000000000146,221.90000000000146,221.90000000000146,216.40000000000146,221.90000000000146,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,8,space,,,100,probe_selfreport,Eligible,Voucher
34,1753197897641,22/07/2025 15:24,1753201497641,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,16,trial_withFeedback,digit,9x41os,1,timedOut,,200.69999995231774,199.70000000000437,200.69999995231774,200.69999995231774,199.70000000000437,200.69999995231774,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,2,space,,,160,probe_selfreport,Eligible,Voucher
35,1753197898540,22/07/2025 15:24,1753201498540,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,16,trial_withFeedback,mask,zabu7l,2,response,noresponse,899.3999999999942,899.3999999999942,899.3999999999942,899.3999999999942,899.3999999999942,899.3999999999942,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,2,space,,,160,probe_selfreport,Eligible,Voucher
36,1753197899723,22/07/2025 15:24,1753201499723,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,17,trial_withFeedback,digit,9x41os,1,timedOut,,200.69999992847443,199.90000000000146,200.69999992847443,200.69999992847443,199.90000000000146,200.69999992847443,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,2,space,,,170,probe_selfreport,Eligible,Voucher
37,1753197899780,22/07/2025 15:24,1753201499780,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,17,trial_withFeedback,mask,zabu7l,2,response,space,58.19999990463111,49.69999999999709,58.19999990463111,58.19999990463111,49.69999999999709,58.19999990463111,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,2,space,,,170,probe_selfreport,Eligible,Voucher
38,1753197900971,22/07/2025 15:25,1753201500971,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,18,trial_withFeedback,digit,9x41os,1,timedOut,,200.79999990462966,199.89999999999418,200.79999990462966,200.79999990462966,199.89999999999418,200.79999990462966,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,9,space,,,150,probe_selfreport,Eligible,Voucher
39,1753197901123,22/07/2025 15:25,1753201501123,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,18,trial_withFeedback,mask,zabu7l,2,response,space,152.89999990463548,150,152.89999990463548,152.89999990463548,150,152.89999990463548,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,9,space,,,150,probe_selfreport,Eligible,Voucher
40,1753197905737,22/07/2025 15:25,1753201505737,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,2,instruction1,screen1,755tgm,1,continue,,3617.4999999284773,3612.9000000000015,3617.4999999284773,3617.4999999284773,3612.9000000000015,3617.4999999284773,1,0,0,,Click To Continue,next,3,object-4,instruction1,"## You've now completed the first practice.
<br/><br/>
## Well done!
<br/><br/>
## While you do the task, we will occassionally ask you whether you were focussed on the task, or whether you were thinking about something else.",,,,,,probe_selfreport,Eligible,Voucher
