Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Randomise questionnaire elements?,Question Key,Response,randomiser-mq2e,branch-s3b7,branch-dgjt
1,1753198414987,22/07/2025 15:33,1753198415654,1,22/07/2025 16:33,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,BEGIN QUESTIONNAIRE,,probe_selfreport,Eligible,Voucher
2,1753198638093,22/07/2025 15:37,1753198638699,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 1 ,Slightly Agree,probe_selfreport,Eligible,Voucher
3,1753198638160,22/07/2025 15:37,1753198638701,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 1 -quantised,2,probe_selfreport,Eligible,Voucher
4,1753198638160,22/07/2025 15:37,1753198638701,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 2 ,Slightly Agree,probe_selfreport,Eligible,Voucher
5,1753198638160,22/07/2025 15:37,1753198638701,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 2 -quantised,2,probe_selfreport,Eligible,Voucher
6,1753198638160,22/07/2025 15:37,1753198638701,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 3 ,Definitely Disagree,probe_selfreport,Eligible,Voucher
7,1753198638160,22/07/2025 15:37,1753198638701,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 3 -quantised,4,probe_selfreport,Eligible,Voucher
8,1753198638160,22/07/2025 15:37,1753198638701,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 4 ,Definitely Disagree,probe_selfreport,Eligible,Voucher
9,1753198638160,22/07/2025 15:37,1753198638701,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 4 -quantised,4,probe_selfreport,Eligible,Voucher
10,1753198638160,22/07/2025 15:37,1753198638702,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 5,Slightly Disagree,probe_selfreport,Eligible,Voucher
11,1753198638160,22/07/2025 15:37,1753198638702,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 5-quantised,3,probe_selfreport,Eligible,Voucher
12,1753198638160,22/07/2025 15:37,1753198638702,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 6 ,Slightly Agree,probe_selfreport,Eligible,Voucher
