Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,branch-s3b7,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,branch-dgjt
1,1753197853855,22/07/2025 15:24,1753201453855,1,22/07/2025 17:24,234742,8,questionnaire-k4b1,,48248931,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753197860098,22/07/2025 15:24,1753201460098,1,22/07/2025 17:24,234742,8,questionnaire-k4b1,,48248931,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,END,6230,,,,,Voucher
1,1753200100871,22/07/2025 16:01,1753203700871,1,22/07/2025 18:01,234742,8,questionnaire-k4b1,,48249949,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753200104155,22/07/2025 16:01,1753203704155,1,22/07/2025 18:01,234742,8,questionnaire-k4b1,,48249949,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,3276,,,,,Voucher
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
