Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instr_text,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: random_blocks,Spreadsheet: random_trials,Spreadsheet: size,branch-s3b7,branch-dgjt
211,1753200898999,22/07/2025 16:14,1753204498999,1,22/07/2025 18:14,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,60,trial,mask,y6xgix,2,response,space,224,217,224,224,217,224,1,0,0,space,Keyboard Response,response,3,object-75,trial,,4,space,23,23,140,Eligible,Voucher
212,1753200899875,22/07/2025 16:14,1753204499875,1,22/07/2025 18:14,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,61,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,8,space,23,23,110,Eligible,Voucher
213,1753200900164,22/07/2025 16:15,1753204500164,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,61,trial,mask,y6xgix,2,response,space,289,284,289,289,284,289,1,0,0,space,Keyboard Response,response,3,object-75,trial,,8,space,23,23,110,Eligible,Voucher
214,1753200900975,22/07/2025 16:15,1753204500975,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,62,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,3,noresponse,23,,130,Eligible,Voucher
215,1753200901875,22/07/2025 16:15,1753204501875,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,62,trial,mask,y6xgix,2,response,noresponse,900,900,900,900,900,900,1,0,0,,Time Limit,screen,0,screen,trial,,3,noresponse,23,,130,Eligible,Voucher
216,1753200902075,22/07/2025 16:15,1753204502075,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,63,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,9,space,23,23,160,Eligible,Voucher
217,1753200902276,22/07/2025 16:15,1753204502276,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,63,trial,mask,y6xgix,2,response,space,201,199,201,201,199,201,1,0,0,space,Keyboard Response,response,3,object-75,trial,,9,space,23,23,160,Eligible,Voucher
218,1753200903175,22/07/2025 16:15,1753204503175,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,64,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,8,space,7,7,100,Eligible,Voucher
219,1753200903339,22/07/2025 16:15,1753204503339,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,64,trial,mask,y6xgix,2,response,space,164,150,164,164,150,164,1,0,0,space,Keyboard Response,response,3,object-75,trial,,8,space,7,7,100,Eligible,Voucher
220,1753200904275,22/07/2025 16:15,1753204504275,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,65,trial,digit,9l7l5c,1,timedOut,,200.0000000000291,200,200.0000000000291,200.0000000000291,200,200.0000000000291,1,0,0,,Time Limit,screen,0,screen,trial,,9,space,7,7,140,Eligible,Voucher
