Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instr_text,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: random_blocks,Spreadsheet: random_trials,Spreadsheet: size,branch-s3b7,branch-dgjt
49,1753198782649,22/07/2025 15:39,1753202382649,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,22,trial_withFeedback,digit,9x41os,1,timedOut,,200.69999992847443,199.6999999999971,200.69999992847443,200.69999992847443,199.6999999999971,200.69999992847443,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,4,space,,,170,Eligible,Voucher
50,1753198782690,22/07/2025 15:39,1753202382690,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,22,trial_withFeedback,mask,zabu7l,2,response,space,42.99999992847734,33.30000000000291,42.99999992847734,42.99999992847734,33.30000000000291,42.99999992847734,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,4,space,,,170,Eligible,Voucher
51,1753198783881,22/07/2025 15:39,1753202383881,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,23,trial_withFeedback,digit,9x41os,1,timedOut,,200.89999999999418,199.79999999998836,200.89999999999418,200.89999999999418,199.79999999998836,200.89999999999418,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,9,space,,,130,Eligible,Voucher
52,1753198784780,22/07/2025 15:39,1753202384780,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,23,trial_withFeedback,mask,zabu7l,2,response,noresponse,899.3000000000029,899.3000000000029,899.3000000000029,899.3000000000029,899.3000000000029,899.3000000000029,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,9,space,,,130,Eligible,Voucher
53,1753198785962,22/07/2025 15:39,1753202385962,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,24,trial_withFeedback,digit,9x41os,1,timedOut,,200.5999999284686,199.6999999999971,200.5999999284686,200.5999999284686,199.6999999999971,200.5999999284686,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,6,space,,,150,Eligible,Voucher
54,1753198786054,22/07/2025 15:39,1753202386054,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,24,trial_withFeedback,mask,zabu7l,2,response,space,93.30000002383895,83.30000000000291,93.30000002383895,93.30000002383895,83.30000000000291,93.30000002383895,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,6,space,,,150,Eligible,Voucher
55,1753198787244,22/07/2025 15:39,1753202387244,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,25,trial_withFeedback,digit,9x41os,1,timedOut,,200.89999999999418,199.89999999999418,200.89999999999418,200.89999999999418,199.89999999999418,200.89999999999418,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,6,space,,,100,Eligible,Voucher
56,1753198787308,22/07/2025 15:39,1753202387308,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,25,trial_withFeedback,mask,zabu7l,2,response,space,65.19999992847443,49.89999999999418,65.19999992847443,65.19999992847443,49.89999999999418,65.19999992847443,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,6,space,,,100,Eligible,Voucher
57,1753198788338,22/07/2025 15:39,1753202388338,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,26,trial_withFeedback,digit,9x41os,1,response,space,45.49999997616396,33.20000000001164,45.49999997616396,45.49999997616396,33.20000000001164,45.49999997616396,1,0,0,space,Keyboard Response,response,3,object-177,trial_withFeedback,,9,space,,,170,Eligible,Voucher
58,1753198790225,22/07/2025 15:39,1753202390225,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,26,trial_withFeedback,mask,zabu7l,2,response,noresponse,898.8999999999942,898.8999999999942,898.8999999999942,898.8999999999942,898.8999999999942,898.8999999999942,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,9,space,,,170,Eligible,Voucher
59,1753198791408,22/07/2025 15:39,1753202391408,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,27,trial_withFeedback,digit,9x41os,1,timedOut,,201.49999992847734,199.5,201.49999992847734,201.49999992847734,199.5,201.49999992847734,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,3,noresponse,,,160,Eligible,Voucher
60,1753198791562,22/07/2025 15:39,1753202391562,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,27,trial_withFeedback,mask,zabu7l,2,response,space,156.40000002384477,150,156.40000002384477,156.40000002384477,150,156.40000002384477,0,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,3,noresponse,,,160,Eligible,Voucher
61,1753198792757,22/07/2025 15:39,1753202392757,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,28,trial_withFeedback,digit,9x41os,1,timedOut,,202.29999995231628,199.89999999999418,202.29999995231628,202.29999995231628,199.89999999999418,202.29999995231628,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,9,space,,,170,Eligible,Voucher
62,1753198792835,22/07/2025 15:39,1753202392835,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,28,trial_withFeedback,mask,zabu7l,2,response,space,80.20000002384768,66.60000000000582,80.20000002384768,80.20000002384768,66.60000000000582,80.20000002384768,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,9,space,,,170,Eligible,Voucher
63,1753198794021,22/07/2025 15:39,1753202394021,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,29,trial_withFeedback,digit,9x41os,1,timedOut,,200.99999992847734,199.5,200.99999992847734,200.99999992847734,199.5,200.99999992847734,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,5,space,,,170,Eligible,Voucher
64,1753198794295,22/07/2025 15:39,1753202394295,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,29,trial_withFeedback,mask,zabu7l,2,response,space,274.5999999523192,266.6999999999971,274.5999999523192,274.5999999523192,266.6999999999971,274.5999999523192,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,5,space,,,170,Eligible,Voucher
65,1753198795439,22/07/2025 15:39,1753202395439,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,30,trial_withFeedback,digit,9x41os,1,response,space,152.79999995231628,150.10000000000582,152.79999995231628,152.79999995231628,150.10000000000582,152.79999995231628,1,0,0,space,Keyboard Response,response,3,object-177,trial_withFeedback,,8,space,,,170,Eligible,Voucher
66,1753198796662,22/07/2025 15:39,1753202396662,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,30,trial_withFeedback,mask,zabu7l,2,response,space,227.09999997615523,216.5,227.09999997615523,227.09999997615523,216.5,227.09999997615523,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,8,space,,,170,Eligible,Voucher
67,1753198797851,22/07/2025 15:39,1753202397851,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,31,trial_withFeedback,digit,9x41os,1,timedOut,,200.69999992847443,199.8000000000029,200.69999992847443,200.69999992847443,199.8000000000029,200.69999992847443,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,7,space,,,120,Eligible,Voucher
68,1753198798603,22/07/2025 15:39,1753202398603,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,31,trial_withFeedback,mask,zabu7l,2,response,space,752.800000023839,749.5999999999913,752.800000023839,752.800000023839,749.5999999999913,752.800000023839,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,7,space,,,120,Eligible,Voucher
