Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
14,1708609373189,22/02/2024 13:42:53,1708609373189,0,22/02/2024 13:42:53,158033,3,task-7qhb,,35422946,BLIND,10464988,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1536x864,1536x703,,,0,Mind wandering task,5,,asd,,set 1,,,Neurodiverse,,ACCEPT,set1_easy,6,passages,Sentences,3emlxf,1,response,,2833.640000000014,2816.9800000000105,2833.640000000014,2833.640000000014,2816.9800000000105,2833.640000000014,1,2833.640000000014,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,5,Marketing provides many different kinds of jobs.,0,Easy,2,1,,,,,,,,,,,,
15,1708609377277,22/02/2024 13:42:57,1708609377277,0,22/02/2024 13:42:57,158033,3,task-7qhb,,35422946,BLIND,10464988,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1536x864,1536x703,,,0,Mind wandering task,5,,asd,,set 1,,,Neurodiverse,,ACCEPT,set1_easy,7,passages,Sentences,3emlxf,1,response,,4107.6600000000035,4100.040000000008,4107.6600000000035,4107.6600000000035,4100.040000000008,4107.6600000000035,1,4107.6600000000035,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,6,These jobs require a wide range of skills and abilities.,0,Easy,2,1,,,,,,,,,,,,
16,1708609385976,22/02/2024 13:43:05,1708609385976,0,22/02/2024 13:43:05,158033,3,task-7qhb,,35422946,BLIND,10464988,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1536x864,1536x703,,,0,Mind wandering task,5,,asd,,set 1,,,Neurodiverse,,ACCEPT,set1_easy,8,passages,Sentences,3emlxf,1,response,,8706.619999999995,8700.660000000003,8706.619999999995,8706.619999999995,8700.660000000003,8706.619999999995,1,8706.619999999995,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,7,"We usually think that the primary job in marketing is selling, but there are jobs in management, advertising, market and product research, and buying.",0,Easy,2,1,,,,,,,,,,,,
17,1708609394024,22/02/2024 13:43:14,1708609394024,0,22/02/2024 13:43:14,158033,3,task-7qhb,,35422946,BLIND,10464988,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1536x864,1536x703,,,0,Mind wandering task,5,,asd,,set 1,,,Neurodiverse,,ACCEPT,set1_easy,9,passages,Sentences,3emlxf,1,response,,8054.959999999992,8050.220000000001,8054.959999999992,8054.959999999992,8050.220000000001,8054.959999999992,1,8054.959999999992,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,8,"The economic well-being of our country is determined largely by productivity, consumption, and employment.",1,Easy,2,1,,,,,,,,,,,,
18,1708609397327,22/02/2024 13:43:17,1708609397327,0,22/02/2024 13:43:17,158033,3,task-7qhb,,35422946,BLIND,10464988,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1536x864,1536x703,,,0,Mind wandering task,5,,asd,,set 1,,,Neurodiverse,,ACCEPT,set1_easy,1,probe,Thought probe,muxvwp,1,response,no,3306.7399999999907,3299.859999999986,3306.7399999999907,3306.7399999999907,3299.859999999986,3306.7399999999907,1,3306.7399999999907,0,0,,Click Response,response,3,object-82,probe,,,,,,,,,,,,,,,,,,,,,
19,1708609400910,22/02/2024 13:43:20,1708609400910,0,22/02/2024 13:43:20,158033,3,task-7qhb,,35422946,BLIND,10464988,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1536x864,1536x703,,,0,Mind wandering task,5,,asd,,set 1,,,Neurodiverse,,ACCEPT,set1_easy,10,passages,Sentences,3emlxf,1,response,,3590.8800000000047,3583.899999999994,3590.8800000000047,3590.8800000000047,3583.899999999994,3590.8800000000047,1,3590.8800000000047,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,9,The efficiency of marketing affects all three.,0,Easy,2,1,,,,,,,,,,,,
20,1708609408926,22/02/2024 13:43:28,1708609408926,0,22/02/2024 13:43:28,158033,3,task-7qhb,,35422946,BLIND,10464988,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1536x864,1536x703,,,0,Mind wandering task,5,,asd,,set 1,,,Neurodiverse,,ACCEPT,set1_easy,11,passages,Sentences,3emlxf,1,response,,8022.9800000000105,8016.680000000022,8022.9800000000105,8022.9800000000105,8016.680000000022,8022.9800000000105,1,8022.9800000000105,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,10,People consume many goods if marketing creates a demand.,0,Easy,2,1,,,,,,,,,,,,
21,1708609425946,22/02/2024 13:43:45,1708609425946,0,22/02/2024 13:43:45,158033,3,task-7qhb,,35422946,BLIND,10464988,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1536x864,1536x703,,,0,Mind wandering task,5,,asd,,set 1,,,Neurodiverse,,ACCEPT,set1_easy,12,passages,Sentences,3emlxf,1,response,,17026.29999999999,17018.22,17026.29999999999,17026.29999999999,17018.22,17026.29999999999,1,17026.29999999999,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,11,"High consumption requires high productivity to meet the wants of people, and high productivity and high-level activity in marketing combined result in high employment.",1,Easy,2,1,,,,,,,,,,,,
22,1708609430700,22/02/2024 13:43:50,1708609430700,0,22/02/2024 13:43:50,158033,3,task-7qhb,,35422946,BLIND,10464988,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1536x864,1536x703,,,0,Mind wandering task,5,,asd,,set 1,,,Neurodiverse,,ACCEPT,set1_easy,2,probe,Thought probe,muxvwp,1,response,no,4762.079999999987,4750.5,4762.079999999987,4762.079999999987,4750.5,4762.079999999987,1,4762.079999999987,0,0,,Click Response,response,3,object-82,probe,,,,,,,,,,,,,,,,,,,,,
23,1708609436722,22/02/2024 13:43:56,1708609436722,0,22/02/2024 13:43:56,158033,3,task-7qhb,,35422946,BLIND,10464988,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1536x864,1536x703,,,0,Mind wandering task,5,,asd,,set 1,,,Neurodiverse,,ACCEPT,set1_easy,13,passages,Sentences,3emlxf,1,response,,6033.0199999999895,6016.359999999986,6033.0199999999895,6033.0199999999895,6016.359999999986,6033.0199999999895,1,6033.0199999999895,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,12,Marketing is indirectly a key to a high economic level of living for the people.,0,Easy,2,1,,,,,,,,,,,,
24,1708609449337,22/02/2024 13:44:09,1708609449337,0,22/02/2024 13:44:09,158033,3,task-7qhb,,35422946,BLIND,10464988,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1536x864,1536x703,,,0,Mind wandering task,5,,asd,,set 1,,,Neurodiverse,,ACCEPT,set1_easy,1,instr_comprehension,Comprehension instruction,ki2jxw,1,response,,12631.220000000001,12617.73999999999,12631.220000000001,12631.220000000001,12617.73999999999,12631.220000000001,1,12631.220000000001,0,0,,Keyboard Response,Keyboard Response,2,object-78,instr_comprehension,,,,,,,,,,,,,,,,,,,,,
25,1708609453737,22/02/2024 13:44:13,1708609453737,0,22/02/2024 13:44:13,158033,3,task-7qhb,,35422946,BLIND,10464988,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1536x864,1536x703,,,0,Mind wandering task,5,,asd,,set 1,,,Neurodiverse,,ACCEPT,set1_easy,1,comprehension,Comprehension questions,ers3wv,1,response,c,4413.4800000000105,4399.8000000000175,4413.4800000000105,4413.4800000000105,4399.8000000000175,4413.4800000000105,1,4413.4800000000105,0,0,,Click Response,response C,4,object-68,comprehension,,,1,1,,,,,,Our economic well-being is determined largely by how many factors?,c,One,Two,Three,Four,Five,,,,,
