Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-35ov,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
11,1722212775424,29/07/2024 00:26:15,1722216375424,1,29/07/2024 02:26:15,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,1,passages,Sentences,3emlxf,1,response,space,1212.000000047683,1199.8999999999996,1212.000000047683,1212.000000047683,1199.8999999999996,1212.000000047683,1,1212.000000047683,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,0,Passage 1,0,Easy,2,2,,,,,,,,,,,,
12,1722212777855,29/07/2024 00:26:17,1722216377855,1,29/07/2024 02:26:17,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,2,passages,Sentences,3emlxf,1,response,space,2443.300000095367,2433.199999999999,2443.300000095367,2443.300000095367,2433.199999999999,2443.300000095367,1,2443.300000095367,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,1,Elizabeth Barrett was wise enough to see that Browning was a fine poet.,0,Easy,2,2,,,,,,,,,,,,
13,1722212780757,29/07/2024 00:26:20,1722216380757,1,29/07/2024 02:26:20,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,3,passages,Sentences,3emlxf,1,response,space,2911.999999952317,2899.9000000000015,2911.999999952317,2911.999999952317,2899.9000000000015,2911.999999952317,1,2911.999999952317,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,2,"The young man with the lemon-colored gloves and long dark hair and high-strung, restless manner who had visited her in 1846 had been moved to write to her because she had praised his poetry.",1,Easy,2,2,,,,,,,,,,,,
14,1722212787342,29/07/2024 00:26:27,1722216387342,1,29/07/2024 02:26:27,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,1,probe,Thought probe,muxvwp,1,response,Unintentional,6597.299999999999,6583.0999999999985,6597.299999999999,6597.299999999999,6583.0999999999985,6597.299999999999,1,6597.299999999999,0,0,,Click Response,Unintentional,4,object-84,probe,,,,,,,,,,,,,,,,,,,,,
15,1722212790191,29/07/2024 00:26:30,1722216390191,1,29/07/2024 02:26:30,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,4,passages,Sentences,3emlxf,1,response,space,2863.300000143052,2849.9000000000015,2863.300000143052,2863.300000143052,2849.9000000000015,2863.300000143052,1,2863.300000143052,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,3,"She found the man even more to her liking than the verse, and it was not so very long-only the time between May, 1845 and September, 1846-before Robert Browning had stolen the poetess from the dour father who guarded her like a dragon (never wanting her to marry any man), and taken her with him to Italy and a new life.",1,Easy,2,2,,,,,,,,,,,,
16,1722212791620,29/07/2024 00:26:31,1722216391620,1,29/07/2024 02:26:31,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,2,probe,Thought probe,muxvwp,1,response,On Task,1442.2000000953667,1433.3999999999978,1442.2000000953667,1442.2000000953667,1433.3999999999978,1442.2000000953667,1,1442.2000000953667,0,0,,Click Response,On Task,2,object-81,probe,,,,,,,,,,,,,,,,,,,,,
17,1722212794605,29/07/2024 00:26:34,1722216394605,1,29/07/2024 02:26:34,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,5,passages,Sentences,3emlxf,1,response,space,2994.1999999523177,2983.2000000000007,2994.1999999523177,2994.1999999523177,2983.2000000000007,2994.1999999523177,1,2994.1999999523177,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,4,"One morning, soon after Robert and Elizabeth married; she thrust a manuscript into Robert’s pocket.",0,Easy,2,2,,,,,,,,,,,,
18,1722212795531,29/07/2024 00:26:35,1722216395531,1,29/07/2024 02:26:35,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,6,passages,Sentences,3emlxf,1,response,space,936.6000000953682,933.1000000000022,936.6000000953682,936.6000000953682,933.1000000000022,936.6000000953682,1,936.6000000953682,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,5,"Then she ran up to her room, embarrassed by her action.",0,Easy,2,2,,,,,,,,,,,,
19,1722212796636,29/07/2024 00:26:36,1722216396636,1,29/07/2024 02:26:36,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,7,passages,Sentences,3emlxf,1,response,space,1108.8000000476823,1100.0999999999985,1108.8000000476823,1108.8000000476823,1100.0999999999985,1108.8000000476823,1,1108.8000000476823,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,6,The manuscript was a sonnet sequence that she had written about their courtship and their love letters.,0,Easy,2,2,,,,,,,,,,,,
20,1722212797574,29/07/2024 00:26:37,1722216397574,1,29/07/2024 02:26:37,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,8,passages,Sentences,3emlxf,1,response,space,946.7999999523163,933.3000000000029,946.7999999523163,946.7999999523163,933.3000000000029,946.7999999523163,1,946.7999999523163,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,7,"Mrs. Browning never intended for these poems to be published, but Robert promptly insisted that they must be.",0,Easy,2,2,,,,,,,,,,,,
