Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Randomise questionnaire elements?,Question Key,Response
1,1720687460717,11/07/2024 08:44:20,1720687460646,1,11/07/2024 09:44:20,179131,14,questionnaire-32sr,,38890343,BLIND,11407914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x929,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720687474782,11/07/2024 08:44:34,1720687474750,1,11/07/2024 09:44:34,179131,14,questionnaire-32sr,,38890343,BLIND,11407914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1903x929,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,14104
1,1720709826798,11/07/2024 14:57:06,1720709826801,1,11/07/2024 15:57:06,179131,14,questionnaire-32sr,,38911644,BLIND,11411662,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1528x708,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720709846506,11/07/2024 14:57:26,1720709846522,1,11/07/2024 15:57:26,179131,14,questionnaire-32sr,,38911644,BLIND,11411662,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1513x708,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,19721
1,1720712914327,11/07/2024 15:48:34,1720712917042,1,11/07/2024 16:48:37,179131,14,questionnaire-32sr,,38914104,BLIND,11412156,,complete,,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x617,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720713137151,11/07/2024 15:52:17,1720713139675,1,11/07/2024 16:52:19,179131,14,questionnaire-32sr,,38914104,BLIND,11412156,,complete,,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x617,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,222634
1,1720781250247,12/07/2024 10:47:30,1720781335026,1,12/07/2024 11:48:55,179131,14,questionnaire-32sr,,38935414,BLIND,11416216,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,2568x1286,2560x1279,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720781294646,12/07/2024 10:48:14,1720781379515,1,12/07/2024 11:49:39,179131,14,questionnaire-32sr,,38935414,BLIND,11416216,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,2568x1286,2543x1279,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,44489
1,1720890440516,13/07/2024 17:07:20,1720890440027,1,13/07/2024 18:07:20,179131,14,questionnaire-32sr,,38955063,BLIND,11421833,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 123.0.0.0,1536x864,1536x730,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720890464270,13/07/2024 17:07:44,1720890463817,1,13/07/2024 18:07:43,179131,14,questionnaire-32sr,,38955063,BLIND,11421833,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 123.0.0.0,1536x864,1536x730,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,23790
1,1721137892396,16/07/2024 13:51:32,1721137892670,1,16/07/2024 14:51:32,179131,14,questionnaire-32sr,,39005435,BLIND,11436876,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x720,842x572,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721138247289,16/07/2024 13:57:27,1721138247492,1,16/07/2024 14:57:27,179131,14,questionnaire-32sr,,39005435,BLIND,11436876,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x720,1217x572,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,354822
1,1721161581277,16/07/2024 20:26:21,1721161580945,1,16/07/2024 21:26:20,179131,14,questionnaire-32sr,,39015445,BLIND,11441695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x763,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721161798451,16/07/2024 20:29:58,1721161798267,1,16/07/2024 21:29:58,179131,14,questionnaire-32sr,,39015445,BLIND,11441695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x763,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,217322
1,1721201921587,17/07/2024 07:38:41,1721201921528,1,17/07/2024 08:38:41,179131,14,questionnaire-32sr,,39021741,BLIND,11443514,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1098x742,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721201927464,17/07/2024 07:38:47,1721201927452,1,17/07/2024 08:38:47,179131,14,questionnaire-32sr,,39021741,BLIND,11443514,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1083x742,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,5924
1,1721241348880,17/07/2024 18:35:48,1721237721067,1,17/07/2024 18:35:21,179131,14,questionnaire-32sr,,39040383,BLIND,11448509,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1494x715,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721241528836,17/07/2024 18:38:48,1721237900916,1,17/07/2024 18:38:20,179131,14,questionnaire-32sr,,39040383,BLIND,11448509,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1477x715,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,179849
1,1721318333401,18/07/2024 15:58:53,1721314704362,1,18/07/2024 15:58:24,179131,14,questionnaire-32sr,,39058981,BLIND,11455863,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1494x715,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
