Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
146,1719918618984,02/07/2024 11:10:18,1719922218984,1,02/07/2024 13:10:18,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,94,passages,Sentences,3emlxf,1,response,space,1635.8999999642838,1633.2000000000698,1635.8999999642838,1635.8999999642838,1633.2000000000698,1635.8999999642838,1,1635.8999999642838,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,5,14,All of these are substances produced by one living organism that injures another living organism.,0,Easy,2,2,,,,,,,,,,,,
147,1719918619992,02/07/2024 11:10:19,1719922219992,1,02/07/2024 13:10:19,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,5,instr_comprehension,Comprehension instruction,ki2jxw,1,response,space,1011.0999999999767,1000,1011.0999999999767,1011.0999999999767,1000,1011.0999999999767,1,1011.0999999999767,0,0,,Keyboard Response,Keyboard Response,2,object-78,instr_comprehension,,,,,,,,,,,,,,,,,,,,,
148,1719918625425,02/07/2024 11:10:25,1719922225425,1,02/07/2024 13:10:25,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,21,comprehension,Comprehension questions,ers3wv,1,response,b,5443.899999952293,5433.5,5443.899999952293,5443.899999952293,5433.5,5443.899999952293,1,5443.899999952293,0,0,,Click Response,response B,3,object-67,comprehension,,,5,1,,,,,,A fungus was used as medicine as early as what century?,b,Sixteenth,Seventeenth,Eighteenth,Nineteenth,Twentieth,,,,,
149,1719918632633,02/07/2024 11:10:32,1719922232633,1,02/07/2024 13:10:32,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,22,comprehension,Comprehension questions,ers3wv,1,response,b,7218.499999976135,7216.599999999977,7218.499999976135,7218.499999976135,7216.599999999977,7218.499999976135,1,7218.499999976135,0,0,,Click Response,response A,2,object-66,comprehension,,,5,2,,,,,,How many antibiotics have been discovered?,b,Ninety-six,Many hundreds,Thousands,Millions,An unspecified number,,,,,
150,1719918644977,02/07/2024 11:10:44,1719922244977,1,02/07/2024 13:10:44,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,23,comprehension,Comprehension questions,ers3wv,1,response,c,12346.199999988079,12333.400000000023,12346.199999988079,12346.199999988079,12333.400000000023,12346.199999988079,1,12346.199999988079,0,0,,Click Response,response E,6,object-70,comprehension,,,5,3,,,,,,This passage is mainly about,c,ergot,drugs,fungi,antibiotics,cheese,,,,,
151,1719918653577,02/07/2024 11:10:53,1719922253577,1,02/07/2024 13:10:53,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,24,comprehension,Comprehension questions,ers3wv,1,response,d,8612.399999952293,8600.199999999953,8612.399999952293,8612.399999952293,8600.199999999953,8612.399999952293,1,8612.399999952293,0,0,,Click Response,response C,4,object-68,comprehension,,,5,4,,,,,,LSD is specifically mentioned to show that ergot,d,needs to be further controlled,needs further research,has medicinal value,is of current interest,is dangerous,,,,,
152,1719918654992,02/07/2024 11:10:54,1719922254992,1,02/07/2024 13:10:54,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,95,passages,Sentences,3emlxf,1,response,space,1427.5999999881024,1416.3000000000466,1427.5999999881024,1427.5999999881024,1416.3000000000466,1427.5999999881024,1,1427.5999999881024,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,0,Passage 6,0,Difficult,1,2,,,,,,,,,,,,
153,1719918655895,02/07/2024 11:10:55,1719922255895,1,02/07/2024 13:10:55,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,96,passages,Sentences,3emlxf,1,response,space,913.6999999642139,900.1999999999534,913.6999999642139,913.6999999642139,900.1999999999534,913.6999999642139,1,913.6999999642139,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,1,Local governments were our first governments.,1,Difficult,1,2,,,,,,,,,,,,
154,1719918657705,02/07/2024 11:10:57,1719922257705,1,02/07/2024 13:10:57,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,19,probe,Thought probe,muxvwp,1,response,On Task,1823.6999999523396,1816.7000000000698,1823.6999999523396,1823.6999999523396,1816.7000000000698,1823.6999999523396,1,1823.6999999523396,0,0,,Click Response,On Task,2,object-81,probe,,,,,,,,,,,,,,,,,,,,,
155,1719918661304,02/07/2024 11:11:01,1719922261304,1,02/07/2024 13:11:01,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,97,passages,Sentences,3emlxf,1,response,space,3606.0999999761116,3600,3606.0999999761116,3606.0999999761116,3600,3606.0999999761116,1,3606.0999999761116,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,2,The primitive tribe that chose the strongest man to be its chief and the oldest men to form a council was establishing local government.,0,Difficult,1,2,,,,,,,,,,,,
