Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Randomise questionnaire elements?,Question Key,Response
1,1721663124948,22/07/2024 15:45:24,1721663123422,1,22/07/2024 16:45:23,179131,14,questionnaire-qazy,,39129921,BLIND,11476822,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1366x768,1358x654,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721663151931,22/07/2024 15:45:51,1721663150440,1,22/07/2024 16:45:50,179131,14,questionnaire-qazy,,39129921,BLIND,11476822,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1366x768,1343x654,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,27018
1,1721672199711,22/07/2024 18:16:39,1721672199668,1,22/07/2024 19:16:39,179131,14,questionnaire-qazy,,39134086,BLIND,11480604,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 128.0,1536x864,1536x702,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721672218443,22/07/2024 18:16:58,1721672218414,1,22/07/2024 19:16:58,179131,14,questionnaire-qazy,,39134086,BLIND,11480604,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 128.0,1536x864,1536x702,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,18746
1,1721764110555,23/07/2024 19:48:30,1721764110450,1,23/07/2024 20:48:30,179131,14,questionnaire-qazy,,39158563,BLIND,11489771,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 90.0.4430.93,1366x768,1366x625,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721764159015,23/07/2024 19:49:19,1721764158980,1,23/07/2024 20:49:18,179131,14,questionnaire-qazy,,39158563,BLIND,11489771,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 90.0.4430.93,1366x768,1349x625,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,48530
1,1721847509942,24/07/2024 18:58:29,1721847509805,1,24/07/2024 19:58:29,179131,14,questionnaire-qazy,,39187092,BLIND,11495903,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1280x559,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721847544414,24/07/2024 18:59:04,1721847544324,1,24/07/2024 19:59:04,179131,14,questionnaire-qazy,,39187092,BLIND,11495903,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1263x559,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,34519
1,1721914788274,25/07/2024 13:39:48,1721914794047,1,25/07/2024 14:39:54,179131,14,questionnaire-qazy,,39200748,BLIND,11498786,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1366x768,1358x654,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721914825608,25/07/2024 13:40:25,1721914831421,1,25/07/2024 14:40:31,179131,14,questionnaire-qazy,,39200748,BLIND,11498786,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1366x768,1343x654,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,37374
