Participant Private ID,Tree Node Key,Task Name,Task Version,Current Spreadsheet,Trial Number,Display,Screen,Response Type,Response,Tag,Reaction Time,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: size,randomiser-mq2e
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,8,probe,screen1,response,NA,zone out,1373.2999999642489,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,8,probe,ready,timedOut,NA,NA,5002.69999995234,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,9,probe,screen1,response,NA,zone out,2947.09999997617,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,9,probe,ready,timedOut,NA,NA,5003.899999976158,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,10,probe,screen1,response,NA,zone out,899.5999999642372,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,10,probe,ready,timedOut,NA,NA,5002.899999964226,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,11,probe,screen1,response,NA,tune out,1831.5999999523049,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,11,probe,ready,timedOut,NA,NA,5003.399999964226,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,12,probe,screen1,response,NA,zone out,5354.499999988067,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,12,probe,ready,timedOut,NA,NA,5002.899999988091,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,13,probe,screen1,response,NA,on task,4429.799999952316,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,13,probe,ready,timedOut,NA,NA,5003.5,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,14,probe,screen1,response,NA,zone out,1930.899999964284,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,14,probe,ready,timedOut,NA,NA,5003.799999964191,NA,NA,NA,probe_selfreport
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,3,probe,screen1,response,NA,space out,4444.79999999702,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,3,probe,ready,timedOut,NA,NA,4996.299999999988,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,4,probe,screen1,response,NA,on task,13737.199999997014,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,4,probe,ready,timedOut,NA,NA,4996.299999998504,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,5,probe,screen1,response,NA,space out,3815.999999994063,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,5,probe,ready,timedOut,NA,NA,4996.299999998533,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,6,probe,screen1,response,NA,space out,1012.899999994028,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,6,probe,ready,timedOut,NA,NA,4996.39999999851,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,7,probe,screen1,response,NA,space out,970.5999999940396,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,7,probe,ready,timedOut,NA,NA,4996.19999999553,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,8,probe,screen1,response,NA,space out,1015.6999999999534,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,8,probe,ready,timedOut,NA,NA,4996.29999999702,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,9,probe,screen1,response,NA,space out,908.699999997043,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,9,probe,ready,timedOut,NA,NA,4996.299999995506,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,10,probe,screen1,response,NA,space out,930.1999999940164,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,10,probe,ready,timedOut,NA,NA,4996.299999994051,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,11,probe,screen1,response,NA,space out,977.9999999970314,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,11,probe,ready,timedOut,NA,NA,4996.400000000023,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,12,probe,screen1,response,NA,space out,917.699999997043,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,12,probe,ready,timedOut,NA,NA,4996.39999999851,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,13,probe,screen1,response,NA,space out,2762.399999994028,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,13,probe,ready,timedOut,NA,NA,4996.3999999969965,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,14,probe,screen1,response,NA,space out,1050.4999999984866,NA,NA,NA,selfreport_probe
13934025,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,14,probe,ready,timedOut,NA,NA,4996.39999999851,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,3,probe,screen1,response,NA,zone out,2018.3999999999944,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,3,probe,ready,timedOut,NA,NA,5005.399999976158,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,4,probe,screen1,response,NA,tune out,16053.200000000012,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,4,probe,ready,timedOut,NA,NA,5006.500000023836,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,5,probe,screen1,response,NA,tune out,1902.4999999761349,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,5,probe,ready,timedOut,NA,NA,5006,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,6,probe,screen1,response,NA,tune out,2030.5999999523049,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,6,probe,ready,timedOut,NA,NA,5005.59999997617,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,7,probe,screen1,response,NA,tune out,1356.4000000000233,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,7,probe,ready,timedOut,NA,NA,5006.700000023819,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,8,probe,screen1,response,NA,tune out,1823.1999999523396,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,8,probe,ready,timedOut,NA,NA,5006.09999997617,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,9,probe,screen1,response,NA,tune out,1541.4000000000233,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,9,probe,ready,timedOut,NA,NA,5006.100000023842,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,10,probe,screen1,response,NA,tune out,824.0999999999767,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,10,probe,ready,timedOut,NA,NA,5005.69999995234,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,11,probe,screen1,response,NA,tune out,1775.6999999761465,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,11,probe,ready,timedOut,NA,NA,5006.09999997617,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,12,probe,screen1,response,NA,tune out,872.4000000238302,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,12,probe,ready,timedOut,NA,NA,5006.099999999977,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,13,probe,screen1,response,NA,tune out,1329.5999999523629,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,13,probe,ready,timedOut,NA,NA,5005.50000004773,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,14,probe,screen1,response,NA,tune out,1165.9000000238884,NA,NA,NA,selfreport_probe
13963720,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,14,probe,ready,timedOut,NA,NA,5006.299999976181,NA,NA,NA,selfreport_probe
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,3,probe,screen1,response,NA,space out,3586.0999999761552,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,3,probe,ready,timedOut,NA,NA,4996.499999952313,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,4,probe,screen1,response,NA,on task,2376.1999999284744,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,4,probe,ready,timedOut,NA,NA,4996.199999928474,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,5,probe,screen1,response,NA,space out,13083.999999904629,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,5,probe,ready,timedOut,NA,NA,4996.499999904627,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,6,probe,screen1,response,NA,on task,3817.399999976158,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,6,probe,ready,timedOut,NA,NA,4996.1999999761465,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,7,probe,screen1,response,NA,zone out,2157.59999997617,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,7,probe,ready,timedOut,NA,NA,4996.299999904644,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,8,probe,screen1,response,NA,tune out,3855.999999976135,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,8,probe,ready,timedOut,NA,NA,4996.199999904609,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,9,probe,screen1,response,NA,tune out,5551.299999928451,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,9,probe,ready,timedOut,NA,NA,4996.099999928498,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,10,probe,screen1,response,NA,space out,2617.399999904621,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,10,probe,ready,timedOut,NA,NA,4996.69999995234,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,11,probe,screen1,response,NA,space out,1500.399999976158,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,11,probe,ready,timedOut,NA,NA,4996.599999999977,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,12,probe,screen1,response,NA,space out,4001.699999952339,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,12,probe,ready,timedOut,NA,NA,4996.199999904609,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,13,probe,screen1,response,NA,space out,2346.999999952328,NA,NA,NA,probe_selfreport
