Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,branch-s3b7,branch-dgjt,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1753914904709,30/07/2025 22:35,1753918504709,1,31/07/2025 00:35,234742,9,questionnaire-nimi,,48463462,BLINDED,13903970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x812,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1753914907664,30/07/2025 22:35,1753918507664,1,31/07/2025 00:35,234742,9,questionnaire-nimi,,48463462,BLINDED,13903970,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x812,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,2948,,,,
1,1754043174872,01/08/2025 10:12,1754046774872,1,01/08/2025 12:12,234742,9,questionnaire-nimi,,48474494,BLINDED,13906995,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1920x1080,1912x962,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1754043180260,01/08/2025 10:13,1754046780260,1,01/08/2025 12:13,234742,9,questionnaire-nimi,,48474494,BLINDED,13906995,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1920x1080,1912x962,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,5384,,,,
1,1754045714273,01/08/2025 10:55,1754049314273,1,01/08/2025 12:55,234742,9,questionnaire-nimi,,48475151,BLINDED,13907280,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1528x738,,,0,Break Screen,2,probe_selfreport,Eligible,No Voucher,,,,,info,,BEGIN,,,,,
3,1754045719277,01/08/2025 10:55,1754049319277,1,01/08/2025 12:55,234742,9,questionnaire-nimi,,48475151,BLINDED,13907280,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1528x738,,,0,Break Screen,2,probe_selfreport,Eligible,No Voucher,,,,,info,,END,4997,,,,
1,1754046437005,01/08/2025 11:07,1754050037005,1,01/08/2025 13:07,234742,9,questionnaire-nimi,,48475361,BLINDED,13907333,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x566,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1754046442090,01/08/2025 11:07,1754050042090,1,01/08/2025 13:07,234742,9,questionnaire-nimi,,48475361,BLINDED,13907333,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x566,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,5080,,,,
1,1754049647908,01/08/2025 12:00,1754053247908,1,01/08/2025 14:00,234742,9,questionnaire-nimi,,48476579,BLINDED,13907670,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1680x1050,1680x970,,,0,Break Screen,2,probe_selfreport,Eligible,No Voucher,,,,,info,,BEGIN,,,,,
3,1754049653331,01/08/2025 12:00,1754053253331,1,01/08/2025 14:00,234742,9,questionnaire-nimi,,48476579,BLINDED,13907670,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1680x1050,1680x970,,,0,Break Screen,2,probe_selfreport,Eligible,No Voucher,,,,,info,,END,5413,,,,
1,1754052962809,01/08/2025 12:56,1754056562809,1,01/08/2025 14:56,234742,9,questionnaire-nimi,,48477925,BLINDED,13908207,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x695,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1754053015103,01/08/2025 12:56,1754056615103,1,01/08/2025 14:56,234742,9,questionnaire-nimi,,48477925,BLINDED,13908207,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x695,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,52289,,,,
1,1754064392468,01/08/2025 16:06,1754067992468,1,01/08/2025 18:06,234742,9,questionnaire-nimi,,48482931,BLINDED,13909522,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 120.0.0.0,1536x864,1495x707,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1754064398309,01/08/2025 16:06,1754067998309,1,01/08/2025 18:06,234742,9,questionnaire-nimi,,48482931,BLINDED,13909522,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 120.0.0.0,1536x864,1495x707,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,5838,,,,
1,1754068102221,01/08/2025 17:08,1754071702221,1,01/08/2025 19:08,234742,9,questionnaire-nimi,,48483711,BLINDED,13909813,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x746,,,0,Break Screen,2,probe_selfreport,Eligible,No Voucher,,,,,info,,BEGIN,,,,,
3,1754068104970,01/08/2025 17:08,1754071704970,1,01/08/2025 19:08,234742,9,questionnaire-nimi,,48483711,BLINDED,13909813,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x746,,,0,Break Screen,2,probe_selfreport,Eligible,No Voucher,,,,,info,,END,2732,,,,
1,1754166126155,02/08/2025 20:22,1754169726155,1,02/08/2025 22:22,234742,9,questionnaire-nimi,,48493191,BLINDED,13912295,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x738,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1754166132081,02/08/2025 20:22,1754169732081,1,02/08/2025 22:22,234742,9,questionnaire-nimi,,48493191,BLINDED,13912295,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x738,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,5921,,,,
1,1754309875001,04/08/2025 12:17,1754313475001,1,04/08/2025 14:17,234742,9,questionnaire-nimi,,48515381,BLINDED,13919253,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1754309880168,04/08/2025 12:18,1754313480168,1,04/08/2025 14:18,234742,9,questionnaire-nimi,,48515381,BLINDED,13919253,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,5161,,,,
1,1754313486103,04/08/2025 13:18,1754317086103,1,04/08/2025 15:18,234742,9,questionnaire-nimi,,48517113,BLINDED,13919855,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1504x1003,1504x868,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1754313492397,04/08/2025 13:18,1754317092397,1,04/08/2025 15:18,234742,9,questionnaire-nimi,,48517113,BLINDED,13919855,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1504x1003,1504x868,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,6282,,,,
1,1754329560987,04/08/2025 17:46,1754333160987,1,04/08/2025 19:46,234742,9,questionnaire-nimi,,48522699,BLINDED,13921803,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x800,1225x676,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1754329562908,04/08/2025 17:46,1754333162908,1,04/08/2025 19:46,234742,9,questionnaire-nimi,,48522699,BLINDED,13921803,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x800,1225x676,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,1912,,,,
1,1754401994519,05/08/2025 13:53,1754405594519,1,05/08/2025 15:53,234742,9,questionnaire-nimi,,48534096,BLINDED,13925040,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1754402805849,05/08/2025 14:06,1754406405849,1,05/08/2025 16:06,234742,9,questionnaire-nimi,,48534096,BLINDED,13925040,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,811322,,,,
1,1754409434446,05/08/2025 15:57,1754413034446,1,05/08/2025 17:57,234742,9,questionnaire-nimi,,48536636,BLINDED,13925905,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1200,1920x1039,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1754409444695,05/08/2025 15:57,1754413044695,1,05/08/2025 17:57,234742,9,questionnaire-nimi,,48536636,BLINDED,13925905,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1200,1920x1039,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,10242,,,,
1,1754552856476,07/08/2025 07:47,1754556456476,1,07/08/2025 09:47,234742,9,questionnaire-nimi,,48569204,BLINDED,13933305,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1754552975227,07/08/2025 07:49,1754556575227,1,07/08/2025 09:49,234742,9,questionnaire-nimi,,48569204,BLINDED,13933305,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,118738,,,,
1,1754839474741,10/08/2025 15:24,1754843074741,1,10/08/2025 17:24,234742,9,questionnaire-nimi,,48627888,BLINDED,13944689,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x953,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1754839479278,10/08/2025 15:24,1754843079278,1,10/08/2025 17:24,234742,9,questionnaire-nimi,,48627888,BLINDED,13944689,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x953,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,4533,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
