origID,roar_acc,roar_logRt,total_tooFast,total_tooSlow,perc_tooFast,perc_tooSlow,roar_exclude_rt
12295569,0.9642857142857143,5.737926765028046,0,2,0,2.380952380952381,0
12295849,0.9047619047619048,6.487804392192133,0,0,0,0,0
12304721,0.9285714285714286,5.382650209511168,14,0,16.666666666666664,0,2
12314725,0.9404761904761905,5.762155990042114,5,0,5.952380952380952,0,0
12314886,0.9285714285714286,5.581638521011002,3,0,3.571428571428571,0,0
12317228,0.9523809523809523,5.897900184743906,0,0,0,0,0
12323320,0.8928571428571429,5.464569823015168,21,0,25,0,2
12326898,0.9642857142857143,5.674188628038937,6,0,7.142857142857142,0,0
12332993,0.9761904761904762,6.177943217062929,0,0,0,0,0
12333149,0.9404761904761905,5.7153706056428435,1,0,1.1904761904761905,0,0
12334989,0.9880952380952381,5.566682613745647,2,0,2.380952380952381,0,0
12342870,0.9523809523809523,5.527715700979663,3,0,3.571428571428571,0,0
12354173,0.9404761904761905,5.540743703671439,1,0,1.1904761904761905,0,0
12361735,0.8928571428571429,5.955083225585735,0,0,0,0,0
12380707,0.9642857142857143,5.806390086760607,0,0,0,0,0
12380832,0.9523809523809523,5.807970653696021,1,0,1.1904761904761905,0,0
12383514,0.9166666666666666,5.575480052014988,6,0,7.142857142857142,0,0
12383663,0.9404761904761905,5.551885245826274,3,0,3.571428571428571,0,0
12384943,0.9523809523809523,5.833454920644174,0,0,0,0,0
12385571,0.9642857142857143,5.839908266538233,5,0,5.952380952380952,0,0
12387558,0.9761904761904762,6.043161171241698,0,0,0,0,0
12393415,0.8928571428571429,5.899018279956711,1,0,1.1904761904761905,0,0
12428612,0.8690476190476191,5.936722883195094,2,0,2.380952380952381,0,0
12460212,0.9523809523809523,6.087038792031334,0,0,0,0,0
12177482,0.9404761904761905,6.0548598823194775,0,0,0,0,0
12192778,0.9523809523809523,6.2618801019985515,2,0,2.380952380952381,0,0
12307361,0.9642857142857143,6.181346695547234,1,0,1.1904761904761905,0,0
12325443,0.9285714285714286,5.53611329415171,0,0,0,0,0
12333744,0.9761904761904762,5.641597608249503,1,0,1.1904761904761905,0,0
12394974,0.9404761904761905,6.321868480148448,0,0,0,0,0
12395154,0.7976190476190477,5.242605717061464,25,0,29.761904761904763,0,2
12395310,0.7857142857142857,5.340844475322178,15,0,17.857142857142858,0,2
12400911,0.9642857142857143,5.670363165012638,0,0,0,0,0
12408161,0.9404761904761905,5.761771813033176,1,0,1.1904761904761905,0,0
12409800,0.9523809523809523,5.561496232879089,2,0,2.380952380952381,0,0
12419430,0.9642857142857143,5.802619318236244,5,0,5.952380952380952,0,0
12421443,0.9642857142857143,6.011366237125478,0,0,0,0,0
12421724,0.9285714285714286,5.656068202014032,2,0,2.380952380952381,0,0
12421982,0.9404761904761905,5.7548649281264845,0,0,0,0,0
12423332,0.9523809523809523,5.509463515530101,4,0,4.761904761904762,0,0
12427410,0.9523809523809523,5.634642294883619,1,0,1.1904761904761905,0,0
12457432,0.9166666666666666,5.790375924291574,2,0,2.380952380952381,0,0
12467385,0.9880952380952381,5.508101780003176,8,0,9.523809523809524,0,0
12491167,0.9285714285714286,5.300823833592102,10,0,11.904761904761903,0,2
