origID,rt_mean,rc_acc,rct,mw_freq
12177482,7279.34705882268,62.5,10296.506249999407,53.84615384615385
12192778,5196.000000000004,50,9077.1875,61.53846153846154
12295569,3418.841176460887,56.25,4593.856249989569,30.76923076923077
12295849,5684.276470555981,56.25,9347.36249996424,38.46153846153847
12304721,7204.372549019615,68.75,11013.0625,38.46153846153847
12307361,7078.621568604549,62.5,12196.837499976908,38.46153846153847
12314725,5006.705882352944,56.25,6244.187500000007,38.46153846153847
12314886,3988.1098038865043,43.75,7146.668749950824,30.76923076923077
12317228,7874.274509803925,43.75,11165.312500000013,46.15384615384615
12323320,7124.176470588246,43.75,4978.875000000022,61.53846153846154
12325443,5539.756862747902,62.5,7971.2812500022355,23.076923076923077
12326898,3911.708529365951,68.75,12361.791624952319,7.6923076923076925
12332993,6074.0254901945,87.5,8816.237499997213,23.076923076923077
12333149,4813.270588235488,62.5,7719.593750000158,38.46153846153847
12333744,6023.6607842828735,56.25,9700.162499952323,23.076923076923077
12334989,5361.627450980395,75,7492.625,46.15384615384615
12342870,4274.554901878504,87.5,7576.687499845024,38.46153846153847
12354173,4357.117647058826,81.25,5508.687500000002,7.6923076923076925
12361735,5181.627450980397,56.25,8792.5,23.076923076923077
12380707,3045.107843158058,75,6702.981250019374,46.15384615384615
12380832,4590.290196029815,81.25,4959.23749992847,7.6923076923076925
12383514,4877.817647053447,62.5,6850.749999993848,38.46153846153847
12383663,4244.574509882459,68.75,5132.962500125173,92.3076923076923
12384943,3991.4313725490215,50,8573.375000000007,30.76923076923077
12385571,5288.786274512376,87.5,8805.600000005215,0
12387558,7073.933333322577,81.25,10468.20624998062,15.384615384615385
12393415,3602.670588234696,43.75,7209.693749999187,30.76923076923077
12394974,4802.5411764397195,62.5,7852.981249980396,76.92307692307693
12395154,2797.3333333333353,62.5,5350.625,7.6923076923076925
12395310,7767.415686275317,75,7664.093750000879,46.15384615384615
12400911,5016.431764705879,68.75,10408.889999999992,23.076923076923077
12408161,6048.978431371671,93.75,6422.781249999576,38.46153846153847
12409800,4020.8039215592753,62.5,6859.049999989567,46.15384615384615
12419430,4643.5725490181485,56.25,7025.531249998228,38.46153846153847
12421443,5715.425490161017,75,11129.481249965735,38.46153846153847
12421724,5052.4176468774385,62.5,9288.799999845018,30.76923076923077
12421982,4073.0196078431422,81.25,9045.937500000004,0
12423332,7235.6862745098115,68.75,9271.500000000013,30.76923076923077
12427410,4997.968627467805,56.25,8702.018749970202,38.46153846153847
12428612,5932.470588235298,37.5,8947.750000000004,30.76923076923077
12457432,5017.568627448701,87.5,6975.062499997395,15.384615384615385
12460212,4474.647058823533,56.25,3984.812500000009,53.84615384615385
12467385,2625.1803921562205,68.75,3967.0749999993477,7.6923076923076925
12491167,2723.856862838594,68.75,5502.37500006556,30.76923076923077
