Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instr_text,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: random_blocks,Spreadsheet: random_trials,Spreadsheet: size,branch-s3b7,branch-wcx7,branch-spxp
1,1754561420504,07/08/2025 10:10,1754565020504,1,07/08/2025 12:10,233799,28,task-qc6r,,48574013,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,Eligible,Voucher,Yes
2,1754561451223,07/08/2025 10:10,1754565051223,1,07/08/2025 12:10,233799,28,task-qc6r,,48574013,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,1,instruction1,screen1,755tgm,1,continue,,30736.23,30724.23,30736.23,30736.23,30724.23,30736.23,1,0,0,,Click To Continue,next,3,object-4,instruction1,"## You will see the digits 1 to 9 in the centre of the screen, one at a time, in a random order.<br/><br/>Your task is to press the **SPACEBAR** with your preferred hand in response to each digit, **EXCEPT WHEN THE DIGIT IS A 3**, in that case you do nothing.<br/><br/>We are going to start with a practice round.",,,,,,Eligible,Voucher,Yes
3,1754561456207,07/08/2025 10:10,1754565056207,1,07/08/2025 12:10,233799,28,task-qc6r,,48574013,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,1,ready,screen1,vndsmx,1,timedOut,,4996.39999999851,4995.9000000000015,4996.39999999851,4996.39999999851,4995.9000000000015,4996.39999999851,1,0,0,,Time Limit,screen,0,screen,ready,,,,,,,Eligible,Voucher,Yes
4,1754561456407,07/08/2025 10:10,1754565056407,1,07/08/2025 12:10,233799,28,task-qc6r,,48574013,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,1,trial_withFeedback,digit,9x41os,1,timedOut,,200.3999999970183,200,200.3999999970183,200.3999999970183,200,200.3999999970183,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,6,space,,,130,Eligible,Voucher,Yes
5,1754561456779,07/08/2025 10:10,1754565056779,1,07/08/2025 12:10,233799,28,task-qc6r,,48574013,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,1,trial_withFeedback,mask,zabu7l,2,response,space,372.8999999970183,366.1999999999971,372.8999999970183,372.8999999970183,366.1999999999971,372.8999999970183,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,6,space,,,130,Eligible,Voucher,Yes
6,1754561457972,07/08/2025 10:10,1754565057972,1,07/08/2025 12:10,233799,28,task-qc6r,,48574013,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,2,trial_withFeedback,digit,9x41os,1,timedOut,,200.09999999850697,199.79999999999563,200.09999999850697,200.09999999850697,199.79999999999563,200.09999999850697,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,3,noresponse,,,160,Eligible,Voucher,Yes
7,1754561458109,07/08/2025 10:10,1754565058109,1,07/08/2025 12:10,233799,28,task-qc6r,,48574013,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,2,trial_withFeedback,mask,zabu7l,2,response,space,137.0999999955311,133.20000000000437,137.0999999955311,137.0999999955311,133.20000000000437,137.0999999955311,0,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,3,noresponse,,,160,Eligible,Voucher,Yes
8,1754561459304,07/08/2025 10:10,1754565059304,1,07/08/2025 12:10,233799,28,task-qc6r,,48574013,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,3,trial_withFeedback,digit,9x41os,1,timedOut,,200.39999999850988,199.90000000000146,200.39999999850988,200.39999999850988,199.90000000000146,200.39999999850988,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,7,space,,,110,Eligible,Voucher,Yes
9,1754561459430,07/08/2025 10:10,1754565059430,1,07/08/2025 12:10,233799,28,task-qc6r,,48574013,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,3,trial_withFeedback,mask,zabu7l,2,response,space,126.7999999955282,116.59999999999854,126.7999999955282,126.7999999955282,116.59999999999854,126.7999999955282,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,7,space,,,110,Eligible,Voucher,Yes
10,1754561460620,07/08/2025 10:11,1754565060620,1,07/08/2025 12:11,233799,28,task-qc6r,,48574013,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,4,trial_withFeedback,digit,9x41os,1,timedOut,,200.40000000000146,199.8000000000029,200.40000000000146,200.40000000000146,199.8000000000029,200.40000000000146,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,8,space,,,140,Eligible,Voucher,Yes
11,1754561460765,07/08/2025 10:11,1754565060765,1,07/08/2025 12:11,233799,28,task-qc6r,,48574013,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,4,trial_withFeedback,mask,zabu7l,2,response,space,145.49999999850843,133.29999999999563,145.49999999850843,145.49999999850843,133.29999999999563,145.49999999850843,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,8,space,,,140,Eligible,Voucher,Yes
12,1754561461952,07/08/2025 10:11,1754565061952,1,07/08/2025 12:11,233799,28,task-qc6r,,48574013,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,5,trial_withFeedback,digit,9x41os,1,timedOut,,200.09999999999854,199.79999999999563,200.09999999999854,200.09999999999854,199.79999999999563,200.09999999999854,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,1,space,,,160,Eligible,Voucher,Yes
13,1754561462051,07/08/2025 10:11,1754565062051,1,07/08/2025 12:11,233799,28,task-qc6r,,48574013,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,5,trial_withFeedback,mask,zabu7l,2,response,space,99.1999999985128,83.30000000000291,99.1999999985128,99.1999999985128,83.30000000000291,99.1999999985128,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,1,space,,,160,Eligible,Voucher,Yes
14,1754561463234,07/08/2025 10:11,1754565063234,1,07/08/2025 12:11,233799,28,task-qc6r,,48574013,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,6,trial_withFeedback,digit,9x41os,1,timedOut,,200.09999999702268,199.70000000000437,200.09999999702268,200.09999999702268,199.70000000000437,200.09999999702268,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,5,space,,,100,Eligible,Voucher,Yes
15,1754561463292,07/08/2025 10:11,1754565063292,1,07/08/2025 12:11,233799,28,task-qc6r,,48574013,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,6,trial_withFeedback,mask,zabu7l,2,response,space,57.89999999701831,50,57.89999999701831,57.89999999701831,50,57.89999999701831,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,5,space,,,100,Eligible,Voucher,Yes
16,1754561464483,07/08/2025 10:11,1754565064483,1,07/08/2025 12:11,233799,28,task-qc6r,,48574013,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,7,trial_withFeedback,digit,9x41os,1,timedOut,,200.29999999701977,199.90000000000146,200.29999999701977,200.29999999701977,199.90000000000146,200.29999999701977,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,5,space,,,130,Eligible,Voucher,Yes
17,1754561464594,07/08/2025 10:11,1754565064594,1,07/08/2025 12:11,233799,28,task-qc6r,,48574013,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,7,trial_withFeedback,mask,zabu7l,2,response,space,110.99999999850843,100,110.99999999850843,110.99999999850843,100,110.99999999850843,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,5,space,,,130,Eligible,Voucher,Yes
18,1754561465782,07/08/2025 10:11,1754565065782,1,07/08/2025 12:11,233799,28,task-qc6r,,48574013,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,8,trial_withFeedback,digit,9x41os,1,timedOut,,200.29999999701977,199.8000000000029,200.29999999701977,200.29999999701977,199.8000000000029,200.29999999701977,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,1,space,,,110,Eligible,Voucher,Yes
