Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Randomise questionnaire elements?,Question Key,Response
1,1738316264440,31/01/2025 09:37:44,1738316264607,0,31/01/2025 09:37:44,209080,4,questionnaire-dqyr,,42926522,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,,Consent form,5,set2,No,BEGIN QUESTIONNAIRE,
2,1738316274532,31/01/2025 09:37:54,1738316274742,0,31/01/2025 09:37:54,209080,4,questionnaire-dqyr,,42926522,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1343x642,,,,Consent form,5,set2,No,consent1,1
3,1738316274607,31/01/2025 09:37:54,1738316274744,0,31/01/2025 09:37:54,209080,4,questionnaire-dqyr,,42926522,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1343x642,,,,Consent form,5,set2,No,consent2,1
4,1738316274607,31/01/2025 09:37:54,1738316274744,0,31/01/2025 09:37:54,209080,4,questionnaire-dqyr,,42926522,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1343x642,,,,Consent form,5,set2,No,consent3,1
5,1738316274607,31/01/2025 09:37:54,1738316274744,0,31/01/2025 09:37:54,209080,4,questionnaire-dqyr,,42926522,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1343x642,,,,Consent form,5,set2,No,consent4,1
6,1738316274607,31/01/2025 09:37:54,1738316274744,0,31/01/2025 09:37:54,209080,4,questionnaire-dqyr,,42926522,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1343x642,,,,Consent form,5,set2,No,consent5,1
7,1738316274607,31/01/2025 09:37:54,1738316274745,0,31/01/2025 09:37:54,209080,4,questionnaire-dqyr,,42926522,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1343x642,,,,Consent form,5,set2,No,consent6,1
8,1738316274607,31/01/2025 09:37:54,1738316274745,0,31/01/2025 09:37:54,209080,4,questionnaire-dqyr,,42926522,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1343x642,,,,Consent form,5,set2,No,consent7,1
9,1738316274607,31/01/2025 09:37:54,1738316274745,0,31/01/2025 09:37:54,209080,4,questionnaire-dqyr,,42926522,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1343x642,,,,Consent form,5,set2,No,END QUESTIONNAIRE,10138
1,1738584721724,03/02/2025 12:12:01,1738584721670,0,03/02/2025 12:12:01,209080,4,questionnaire-dqyr,,42999616,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,,Consent form,5,set2,No,BEGIN QUESTIONNAIRE,
2,1738584743955,03/02/2025 12:12:23,1738584743925,0,03/02/2025 12:12:23,209080,4,questionnaire-dqyr,,42999616,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,,Consent form,5,set2,No,consent1,1
3,1738584744006,03/02/2025 12:12:24,1738584743927,0,03/02/2025 12:12:23,209080,4,questionnaire-dqyr,,42999616,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,,Consent form,5,set2,No,consent2,1
4,1738584744006,03/02/2025 12:12:24,1738584743927,0,03/02/2025 12:12:23,209080,4,questionnaire-dqyr,,42999616,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,,Consent form,5,set2,No,consent3,1
5,1738584744006,03/02/2025 12:12:24,1738584743927,0,03/02/2025 12:12:23,209080,4,questionnaire-dqyr,,42999616,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,,Consent form,5,set2,No,consent4,1
6,1738584744006,03/02/2025 12:12:24,1738584743927,0,03/02/2025 12:12:23,209080,4,questionnaire-dqyr,,42999616,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,,Consent form,5,set2,No,consent5,1
7,1738584744006,03/02/2025 12:12:24,1738584743927,0,03/02/2025 12:12:23,209080,4,questionnaire-dqyr,,42999616,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,,Consent form,5,set2,No,consent6,1
8,1738584744006,03/02/2025 12:12:24,1738584743927,0,03/02/2025 12:12:23,209080,4,questionnaire-dqyr,,42999616,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,,Consent form,5,set2,No,consent7,1
9,1738584744006,03/02/2025 12:12:24,1738584743927,0,03/02/2025 12:12:23,209080,4,questionnaire-dqyr,,42999616,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,,Consent form,5,set2,No,END QUESTIONNAIRE,22257
1,1738588327175,03/02/2025 13:12:07,1738588327102,0,03/02/2025 13:12:07,209080,4,questionnaire-dqyr,,43002262,BLIND,12532980,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x717,,,,Consent form,5,set2,No,BEGIN QUESTIONNAIRE,
2,1738588345977,03/02/2025 13:12:25,1738588345956,0,03/02/2025 13:12:25,209080,4,questionnaire-dqyr,,43002262,BLIND,12532980,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x717,,,,Consent form,5,set2,No,consent1,1
3,1738588346023,03/02/2025 13:12:26,1738588345957,0,03/02/2025 13:12:25,209080,4,questionnaire-dqyr,,43002262,BLIND,12532980,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x717,,,,Consent form,5,set2,No,consent2,1
4,1738588346023,03/02/2025 13:12:26,1738588345957,0,03/02/2025 13:12:25,209080,4,questionnaire-dqyr,,43002262,BLIND,12532980,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x717,,,,Consent form,5,set2,No,consent3,1
5,1738588346023,03/02/2025 13:12:26,1738588345957,0,03/02/2025 13:12:25,209080,4,questionnaire-dqyr,,43002262,BLIND,12532980,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x717,,,,Consent form,5,set2,No,consent4,1
6,1738588346023,03/02/2025 13:12:26,1738588345957,0,03/02/2025 13:12:25,209080,4,questionnaire-dqyr,,43002262,BLIND,12532980,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x717,,,,Consent form,5,set2,No,consent5,1
7,1738588346023,03/02/2025 13:12:26,1738588345958,0,03/02/2025 13:12:25,209080,4,questionnaire-dqyr,,43002262,BLIND,12532980,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x717,,,,Consent form,5,set2,No,consent6,1
8,1738588346023,03/02/2025 13:12:26,1738588345958,0,03/02/2025 13:12:25,209080,4,questionnaire-dqyr,,43002262,BLIND,12532980,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x717,,,,Consent form,5,set2,No,consent7,1
9,1738588346023,03/02/2025 13:12:26,1738588345958,0,03/02/2025 13:12:25,209080,4,questionnaire-dqyr,,43002262,BLIND,12532980,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x717,,,,Consent form,5,set2,No,END QUESTIONNAIRE,18856
1,1738674326112,04/02/2025 13:05:26,1738674326087,0,04/02/2025 13:05:26,209080,4,questionnaire-dqyr,,43044567,BLIND,12544293,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1536x864,1528x738,,,,Consent form,5,set2,No,BEGIN QUESTIONNAIRE,
