Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: block,Spreadsheet: block_number_text,Spreadsheet: item,Spreadsheet: item_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: item_correct,Manipulation: Spreadsheet
11,1738316335310,31/01/2025 09:38:55,1738316335310,0,31/01/2025 09:38:55,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,1,block,item,iz4mgl,1,response,47,3766.5999999999985,6283.0999999999985,6287.800000047682,3766.5999999999985,6283.0999999999985,6287.800000047682,1,3766.5999999999985,2521.2000000476837,0,,Single Number Entry,response,2,object-109,block,,,0,,1,12 + 35,,,,2,47,
12,1738316346671,31/01/2025 09:39:06,1738316346671,0,31/01/2025 09:39:06,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,2,block,item,iz4mgl,1,response,37,5849.5,11349.199999999997,11365.600000143051,5849.5,11349.199999999997,11365.600000143051,1,5849.5,5516.100000143051,0,,Single Number Entry,response,2,object-109,block,,,0,,2,89 - 52,,,,2,37,
13,1738316349175,31/01/2025 09:39:09,1738316349175,0,31/01/2025 09:39:09,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,3,block,item,iz4mgl,1,response,20,2000,2516.699999999997,2520.900000143054,2000,2516.699999999997,2520.900000143054,1,2000,520.9000001430541,0,,Single Number Entry,response,2,object-109,block,,,0,,3,4 x 5,,,,2,20,
14,1738316362194,31/01/2025 09:39:22,1738316362194,0,31/01/2025 09:39:22,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,4,block,item,iz4mgl,1,response,9,10999.400000000009,13016.100000000006,13022.80000004769,10999.400000000009,13016.100000000006,13022.80000004769,1,10999.400000000009,2023.4000000476808,0,,Single Number Entry,response,2,object-109,block,,,0,,4,72 ÷ 8,,,,2,9,
15,1738316365343,31/01/2025 09:39:25,1738316365343,0,31/01/2025 09:39:25,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,8,instr,instr_text,19f9rf,1,continue,,3156.2000000476837,3149.800000000003,3156.2000000476837,3156.2000000476837,3149.800000000003,3156.2000000476837,1,3156.2000000476837,0,0,,Click To Continue,Continue Button,2,object-108,instr,8,Please click the button below to start answering questions.,,,,,,,,2,,
16,1738316366401,31/01/2025 09:39:26,1738316366401,0,31/01/2025 09:39:26,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,2,block_intro,Screen 1,j74kif,1,continue,,1063.6000000953645,1049.8999999999942,1063.6000000953645,1063.6000000953645,1049.8999999999942,1063.6000000953645,1,1063.6000000953645,0,0,,Click To Continue,start,2,object-98,block_intro,,,1,Block 1,,,,,,,,
17,1738316388731,31/01/2025 09:39:48,1738316388731,0,31/01/2025 09:39:48,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,5,block,item,iz4mgl,1,response,71,21699.100000000006,22332.40000000001,22344.000000047687,21699.100000000006,22332.40000000001,22344.000000047687,1,21699.100000000006,644.9000000476808,0,,Single Number Entry,response,2,object-109,block,,,1,,1,14 + 57,0,Difficult,2,2,71,
18,1738316401554,31/01/2025 09:40:01,1738316401554,0,31/01/2025 09:40:01,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,6,block,item,iz4mgl,1,response,74,12316,12832.599999999991,12834.69999995231,12316,12832.599999999991,12834.69999995231,0,12316,518.6999999523105,0,,Single Number Entry,response,2,object-109,block,,,1,,2,58 + 26,0,Difficult,2,2,84,
19,1738316421640,31/01/2025 09:40:21,1738316421640,0,31/01/2025 09:40:21,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,7,block,item,iz4mgl,1,response,53,19665.699999999997,20082.500000000015,20087.900000143054,19665.699999999997,20082.500000000015,20087.900000143054,1,19665.699999999997,422.20000014305697,0,,Single Number Entry,response,2,object-109,block,,,1,,3,16 + 37,0,Difficult,2,2,53,
20,1738316425170,31/01/2025 09:40:25,1738316425170,0,31/01/2025 09:40:25,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,1,probe,thought_probe,muxvwp,1,response,On Task,3533.2999999999593,3516.5999999999767,3533.2999999999593,3533.2999999999593,3516.5999999999767,3533.2999999999593,1,3533.2999999999593,0,0,,Click Response,On Task,2,object-81,probe,,,1,,,,,,2,2,,
