Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Randomise questionnaire elements?,Question Key,Response
1,1738662718451,04/02/2025 09:51:58,1738662718399,0,04/02/2025 09:51:58,209080,4,questionnaire-gzsc,,43034447,BLIND,12541956,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1440x820,,,,Info sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738662722628,04/02/2025 09:52:02,1738662722565,0,04/02/2025 09:52:02,209080,4,questionnaire-gzsc,,43034447,BLIND,12541956,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1440x820,,,,Info sheet,4,set2,No,END QUESTIONNAIRE,4166
1,1738781772074,05/02/2025 18:56:12,1738781771834,0,05/02/2025 18:56:11,209080,4,questionnaire-gzsc,,43109820,BLIND,12560076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,,Info sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738781777508,05/02/2025 18:56:17,1738781776903,0,05/02/2025 18:56:16,209080,4,questionnaire-gzsc,,43109820,BLIND,12560076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Info sheet,4,set2,No,END QUESTIONNAIRE,5069
1,1738848694984,06/02/2025 13:31:34,1738848707435,0,06/02/2025 13:31:47,209080,4,questionnaire-gzsc,,43129500,BLIND,12573385,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x911,,,,Info sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738848794810,06/02/2025 13:33:14,1738848807230,0,06/02/2025 13:33:27,209080,4,questionnaire-gzsc,,43129500,BLIND,12573385,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x911,,,,Info sheet,4,set1,No,END QUESTIONNAIRE,99795
1,1739136394038,09/02/2025 21:26:34,1739136393920,0,09/02/2025 21:26:33,209080,4,questionnaire-gzsc,,43225280,BLIND,12599775,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.2,810x1080,810x1007,,,,Info sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1739136411879,09/02/2025 21:26:51,1739136411786,0,09/02/2025 21:26:51,209080,4,questionnaire-gzsc,,43225280,BLIND,12599775,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.2,810x1080,810x1007,,,,Info sheet,4,set2,No,END QUESTIONNAIRE,17866
1,1739137228254,09/02/2025 21:40:28,1739137228087,0,09/02/2025 21:40:28,209080,4,questionnaire-gzsc,,43225558,BLIND,12599877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3,810x1080,810x1010,,,,Info sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1739137235151,09/02/2025 21:40:35,1739137235014,0,09/02/2025 21:40:35,209080,4,questionnaire-gzsc,,43225558,BLIND,12599877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3,810x1080,810x1010,,,,Info sheet,4,set1,No,END QUESTIONNAIRE,6927
1,1739179997176,10/02/2025 09:33:17,1739179997071,0,10/02/2025 09:33:17,209080,4,questionnaire-gzsc,,43232317,BLIND,12601909,,rejected - time limit reached,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x953,,,,Info sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1739180002155,10/02/2025 09:33:22,1739180002119,0,10/02/2025 09:33:22,209080,4,questionnaire-gzsc,,43232317,BLIND,12601909,,rejected - time limit reached,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1903x953,,,,Info sheet,4,set1,No,END QUESTIONNAIRE,5048
1,1739180781957,10/02/2025 09:46:21,1739180774264,0,10/02/2025 09:46:14,209080,4,questionnaire-gzsc,,43232625,BLIND,12602000,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x937,,,,Info sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1739180892730,10/02/2025 09:48:12,1739180884565,0,10/02/2025 09:48:04,209080,4,questionnaire-gzsc,,43232625,BLIND,12602000,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1903x937,,,,Info sheet,4,set2,No,END QUESTIONNAIRE,110301
1,1739210672638,10/02/2025 18:04:32,1739210672511,0,10/02/2025 18:04:32,209080,4,questionnaire-gzsc,,43257144,BLIND,12608669,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,820x1180,1180x707,,,,Info sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1739210676391,10/02/2025 18:04:36,1739210676296,0,10/02/2025 18:04:36,209080,4,questionnaire-gzsc,,43257144,BLIND,12608669,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,820x1180,1180x707,,,,Info sheet,4,set2,No,END QUESTIONNAIRE,3785
1,1739226503923,10/02/2025 22:28:23,1739226503633,0,10/02/2025 22:28:23,209080,4,questionnaire-gzsc,,43266487,BLIND,12612642,,complete,,,tablet,Amazon KFONWI,Android 9,Silk 130.7.9,601x962,602x777,,,,Info sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1739226522443,10/02/2025 22:28:42,1739226522161,0,10/02/2025 22:28:42,209080,4,questionnaire-gzsc,,43266487,BLIND,12612642,,complete,,,tablet,Amazon KFONWI,Android 9,Silk 130.7.9,601x962,602x776,,,,Info sheet,4,set1,No,END QUESTIONNAIRE,18528
1,1738584680244,03/02/2025 12:11:20,1738584680184,0,03/02/2025 12:11:20,209080,4,questionnaire-gzsc,,42999585,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,,Info sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738584721031,03/02/2025 12:12:01,1738584721018,0,03/02/2025 12:12:01,209080,4,questionnaire-gzsc,,42999585,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,,Info sheet,4,set2,No,END QUESTIONNAIRE,40834
1,1738523441641,02/02/2025 19:10:41,1738523459566,0,02/02/2025 19:10:59,209080,4,questionnaire-gzsc,,42985791,BLIND,12528775,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,1280x800,1280x632,,,,Info sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738523718142,02/02/2025 19:15:18,1738523736025,0,02/02/2025 19:15:36,209080,4,questionnaire-gzsc,,42985791,BLIND,12528775,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,800x1280,800x1112,,,,Info sheet,4,set1,No,END QUESTIONNAIRE,276459
1,1738316232393,31/01/2025 09:37:12,1738316232513,0,31/01/2025 09:37:12,209080,4,questionnaire-gzsc,,42926507,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,,Info sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738316263639,31/01/2025 09:37:43,1738316263843,0,31/01/2025 09:37:43,209080,4,questionnaire-gzsc,,42926507,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1343x642,,,,Info sheet,4,set2,No,END QUESTIONNAIRE,31330
1,1738168642800,29/01/2025 16:37:22,1738168642707,0,29/01/2025 16:37:22,209080,4,questionnaire-gzsc,,42842347,BLIND,12493669,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,820x1180,1180x713,,,,Info sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738168672128,29/01/2025 16:37:52,1738168671963,0,29/01/2025 16:37:51,209080,4,questionnaire-gzsc,,42842347,BLIND,12493669,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,820x1180,1180x713,,,,Info sheet,4,set2,No,END QUESTIONNAIRE,29256
1,1739126831304,09/02/2025 18:47:11,1739126830942,0,09/02/2025 18:47:10,209080,4,questionnaire-gzsc,,43222596,BLIND,12598828,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x692,,,,Info sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1739127004028,09/02/2025 18:50:04,1739127003846,0,09/02/2025 18:50:03,209080,4,questionnaire-gzsc,,43222596,BLIND,12598828,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x692,,,,Info sheet,4,set2,No,END QUESTIONNAIRE,172904
1,1739118326342,09/02/2025 16:25:26,1739118326267,0,09/02/2025 16:25:26,209080,4,questionnaire-gzsc,,43219506,BLIND,12597922,,complete,,,tablet,undefined K,Android 10,Chrome 132.0.0.0,962x601,962x446,,,,Info sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1739118580705,09/02/2025 16:29:40,1739118580586,0,09/02/2025 16:29:40,209080,4,questionnaire-gzsc,,43219506,BLIND,12597922,,complete,,,tablet,undefined K,Android 10,Chrome 132.0.0.0,962x601,962x446,,,,Info sheet,4,set1,No,END QUESTIONNAIRE,254320
1,1738674218089,04/02/2025 13:03:38,1738674218034,0,04/02/2025 13:03:38,209080,4,questionnaire-gzsc,,43044448,BLIND,12544293,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1536x864,1528x738,,,,Info sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738674324828,04/02/2025 13:05:24,1738674324827,0,04/02/2025 13:05:24,209080,4,questionnaire-gzsc,,43044448,BLIND,12544293,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1536x864,1513x738,,,,Info sheet,4,set2,No,END QUESTIONNAIRE,106793
1,1738602402860,03/02/2025 17:06:42,1738602404529,0,03/02/2025 17:06:44,209080,4,questionnaire-gzsc,,43013647,BLIND,12536940,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1664x1110,1656x984,,,,Info sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738602815531,03/02/2025 17:13:35,1738602817158,0,03/02/2025 17:13:37,209080,4,questionnaire-gzsc,,43013647,BLIND,12536940,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1664x1110,1641x984,,,,Info sheet,4,set2,No,END QUESTIONNAIRE,412630
1,1738588192719,03/02/2025 13:09:52,1738588192616,0,03/02/2025 13:09:52,209080,4,questionnaire-gzsc,,43002180,BLIND,12532980,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x717,,,,Info sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738588326390,03/02/2025 13:12:06,1738588326376,0,03/02/2025 13:12:06,209080,4,questionnaire-gzsc,,43002180,BLIND,12532980,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x717,,,,Info sheet,4,set2,No,END QUESTIONNAIRE,133760
1,1739388862819,12/02/2025 19:34:22,1739388862155,0,12/02/2025 19:34:22,209080,4,questionnaire-gzsc,,43355750,BLIND,12637164,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1138x639,1264x523,,,,Info sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1739389074668,12/02/2025 19:37:54,1739389073989,0,12/02/2025 19:37:53,209080,4,questionnaire-gzsc,,43355750,BLIND,12637164,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1138x639,1264x523,,,,Info sheet,4,set1,No,END QUESTIONNAIRE,211834
1,1738607095641,03/02/2025 18:24:55,1738607095537,0,03/02/2025 18:24:55,209080,4,questionnaire-gzsc,,43017143,BLIND,12537739,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 134.0,1280x800,1190x691,,,,Info sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738607158457,03/02/2025 18:25:58,1738607158401,0,03/02/2025 18:25:58,209080,4,questionnaire-gzsc,,43017143,BLIND,12537739,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 134.0,1280x800,1190x691,,,,Info sheet,4,set1,No,END QUESTIONNAIRE,62864
END OF FILE
