Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: block,Spreadsheet: block_number_text,Spreadsheet: item,Spreadsheet: item_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: item_correct,Manipulation: Spreadsheet
11,1738238463563,30/01/2025 12:01:03,1738238463563,0,30/01/2025 12:01:03,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,1,block,item,iz4mgl,1,response,47,3734,5750,5755,3734,5750,5755,1,3734,2021,0,,Single Number Entry,response,2,object-109,block,,,0,,1,12 + 35,,,,1,47,
12,1738238469895,30/01/2025 12:01:09,1738238469895,0,30/01/2025 12:01:09,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,2,block,item,iz4mgl,1,response,37,4084,6334,6338,4084,6334,6338,1,4084,2254,0,,Single Number Entry,response,2,object-109,block,,,0,,2,89 - 52,,,,1,37,
13,1738238472580,30/01/2025 12:01:12,1738238472580,0,30/01/2025 12:01:12,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,3,block,item,iz4mgl,1,response,20,1533,2683,2689,1533,2683,2689,1,1533,1156,0,,Single Number Entry,response,2,object-109,block,,,0,,3,4 x 5,,,,1,20,
14,1738238476328,30/01/2025 12:01:16,1738238476328,0,30/01/2025 12:01:16,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,4,block,item,iz4mgl,1,response,9,2550,3750,3754,2550,3750,3754,1,2550,1204,0,,Single Number Entry,response,2,object-109,block,,,0,,4,72 ÷ 8,,,,1,9,
15,1738238479894,30/01/2025 12:01:19,1738238479894,0,30/01/2025 12:01:19,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,8,instr,instr_text,19f9rf,1,continue,,3571,3567,3571,3571,3567,3571,1,3571,0,0,,Click To Continue,Continue Button,2,object-108,instr,8,Please click the button below to start answering questions.,,,,,,,,1,,
16,1738238481751,30/01/2025 12:01:21,1738238481751,0,30/01/2025 12:01:21,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,2,block_intro,Screen 1,j74kif,1,continue,,1861,1850,1861,1861,1850,1861,1,1861,0,0,,Click To Continue,start,2,object-98,block_intro,,,1,Block 1,,,,,,1,,
17,1738238486995,30/01/2025 12:01:26,1738238486995,0,30/01/2025 12:01:26,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,5,block,item,iz4mgl,1,response,78,4033,5250,5255,4033,5250,5255,1,4033,1222,0,,Single Number Entry,response,2,object-109,block,,,1,,1,53 + 25,0,Easy,1,1,78,
18,1738238490928,30/01/2025 12:01:30,1738238490928,0,30/01/2025 12:01:30,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,6,block,item,iz4mgl,1,response,97,2217,3934,3938,2217,3934,3938,1,2217,1721,0,,Single Number Entry,response,2,object-109,block,,,1,,2,63 + 34,0,Easy,1,1,97,
19,1738238495594,30/01/2025 12:01:35,1738238495594,0,30/01/2025 12:01:35,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,7,block,item,iz4mgl,1,response,46,3200,4666,4670,3200,4666,4670,1,3200,1470,0,,Single Number Entry,response,2,object-109,block,,,1,,3,34 + 12,1,Easy,1,1,46,
20,1738238498279,30/01/2025 12:01:38,1738238498279,0,30/01/2025 12:01:38,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,1,probe,thought_probe,muxvwp,1,response,On Task,2688.000000000029,2684,2688.000000000029,2688.000000000029,2684,2688.000000000029,1,2688.000000000029,0,0,,Click Response,On Task,2,object-81,probe,,,1,,,,,,1,1,,
21,1738238504994,30/01/2025 12:01:44,1738238504994,0,30/01/2025 12:01:44,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,8,block,item,iz4mgl,1,response,59,5550,6716,6720,5550,6716,6720,1,5550,1170,0,,Single Number Entry,response,2,object-109,block,,,1,,4,21 + 38,0,Easy,1,1,59,
22,1738238509445,30/01/2025 12:01:49,1738238509445,0,30/01/2025 12:01:49,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,9,block,item,iz4mgl,1,response,89,3417,4451,4455,3417,4451,4455,1,3417,1038,0,,Single Number Entry,response,2,object-109,block,,,1,,5,37 + 52,0,Easy,1,1,89,
23,1738238514594,30/01/2025 12:01:54,1738238514594,0,30/01/2025 12:01:54,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,10,block,item,iz4mgl,1,response,79,2850,5150,5153,2850,5150,5153,1,2850,2303,0,,Single Number Entry,response,2,object-109,block,,,1,,6,43 + 36,0,Easy,1,1,79,
24,1738238518511,30/01/2025 12:01:58,1738238518511,0,30/01/2025 12:01:58,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,11,block,item,iz4mgl,1,response,67,2766,3916,3921,2766,3916,3921,1,2766,1155,0,,Single Number Entry,response,2,object-109,block,,,1,,7,43 + 24,0,Easy,1,1,67,
25,1738238522460,30/01/2025 12:02:02,1738238522460,0,30/01/2025 12:02:02,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,12,block,item,iz4mgl,1,response,95,2167,3951,3954,2167,3951,3954,1,2167,1787,0,,Single Number Entry,response,2,object-109,block,,,1,,8,54 + 41,0,Easy,1,1,95,
26,1738238528828,30/01/2025 12:02:08,1738238528828,0,30/01/2025 12:02:08,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,13,block,item,iz4mgl,1,response,15,5266,6366,6371,5266,6366,6371,1,5266,1105,0,,Single Number Entry,response,2,object-109,block,,,1,,9,67 - 52,0,Easy,1,1,15,
